Title;Level;Publisher;Text file;License
En Familia;Infantil;Fundación Montemadrid;Data/Literature/en_familia.txt;Creative commons
Pájaro amarillo;Infantil;Apila Ediciones;Data/Literature/pajaro_amarillo.txt;Creative commons
Mi casa es un castillo;Infantil;El Hilo Ediciones;Data/Literature/mi_casa_es_un_castillo.txt;Creative commons
Coronavirus no es un príncipe ni una princesa;Infantil;Audacia Comunicación;Data/Literature/coronavirus_no_es_un_principe_ni_una_princesa.txt;Creative commons
Leotolda;Infantil;Silonia;Data/Literature/leotolda.txt;Creative commons
Rana de tres ojos;Infantil;Apila Ediciones;Data/Literature/rana_de_tres_ojos.txt;Creative commons
Caperucita roja;Infantil;Mundo Primaria;Data/Literature/caperucita_roja.txt;SafeCreative
La cenicienta;Infantil;Mundo Primaria;Data/Literature/la_cenicienta.txt;SafeCreative
La sirenita;Infantil;Mundo Primaria;Data/Literature/la_sirenita.txt;SafeCreative
Rapunzel;Infantil;Mundo Primaria;Data/Literature/rapunzel.txt;SafeCreative
Los tres cerditos;Infantil;Mundo Primaria;Data/Literature/los_tres_cerditos.txt;SafeCreative
Pinocho;Infantil;Mundo Primaria;Data/Literature/pinocho.txt;SafeCreative
Peter Pan;Infantil;Mundo Primaria;Data/Literature/peter_pan.txt;SafeCreative
Hansel y Gretel;Infantil;Mundo Primaria;Data/Literature/hansel_y_gretel.txt;SafeCreative
Blancanieves;Infantil;Mundo Primaria;Data/Literature/blancanieves.txt;SafeCreative
Bambi;Infantil;Mundo Primaria;Data/Literature/bambi.txt;SafeCreative
La bella durmiente;Infantil;Mundo Primaria;Data/Literature/la_bella_durmiente.txt;SafeCreative
El mago de Oz;Infantil;Mundo Primaria;Data/Literature/el_mago_de_oz.txt;SafeCreative
El patito feo;Infantil;Mundo Primaria;Data/Literature/el_patito_feo.txt;SafeCreative
El gato con botas;Infantil;Mundo Primaria;Data/Literature/el_gato_con_botas.txt;SafeCreative
Aladino;Infantil;Mundo Primaria;Data/Literature/aladino.txt;SafeCreative
Ricitos de Oro;Infantil;Mundo Primaria;Data/Literature/ricitos_de_oro.txt;SafeCreative
Historia de una gaviota y el gato que la enseñó a volar;Infantil;Tusquets;Data/Literature/historia_de_una_gaviota_y_el_gato_que_la_enseno_a_volar.txt;Tusquets
El Principito;Infantil;Creative Commons;Data/Literature/el_principito.txt;Creative commons
Jack y las habichuelas mágicas;Infantil;Letra Impresa;Data/Literature/jack_y_las_habichuelas_magicas.txt;Letra Impresa
Los siete cabritos y el lobo;Infantil;Son cuentos infantiles;Data/Literature/los_siete_cabritos_y_el_lobo.txt;Creative commons
La reina de las nieves;Infantil;Ciudad Seva;Data/Literature/la_reina_de_las_nieves.txt;Creative commons
El flautista de Hamelin;Infantil;Teatro musical infantil;Data/Literature/el_flautista_de_hamelin.txt;Creative commons
El soldadito de plomo;Infantil;Ciudad Seva;Data/Literature/el_soldadito_de_plomo.txt;Creative commons
Los cisnes salvajes;Infantil;Ciudad Seva;Data/Literature/los_cisnes_salvajes.txt;Creative commons
El príncipe feliz;Juvenil;Elejandria;Data/Literature/el_principe_feliz.txt;Creative commons
El ruiseñor y la rosa;Juvenil;Elejandria;Data/Literature/el_ruisenor_y_la_rosa.txt;Creative commons
El gigante egoísta;Juvenil;Elejandria;Data/Literature/el_gigante_egoista.txt;Creative commons
El amigo fiel;Juvenil;Elejandria;Data/Literature/el_amigo_fiel.txt;Creative commons
El famoso cohete;Juvenil;Elejandria;Data/Literature/el_famoso_cohete.txt;Creative commons
El manuscrito de un loco;Juvenil;Elejandria;Data/Literature/el_manuscrito_de_un_loco.txt;Creative commons
La noche del muñeco viviente;Juvenil;Ediciones B;Data/Literature/la_noche_del_muneco_viviente.txt;Ediciones B
La noche del muñeco viviente 2;Juvenil;Ediciones B;Data/Literature/la_noche_del_muneco_viviente_2.txt;Ediciones B
Aventura espeluznante;Juvenil;Ediciones B;Data/Literature/aventura_espeluznante.txt;Ediciones B
Caperucita en Manhattan;Juvenil;Siruela;Data/Literature/caperucita_en_manhattan.txt;Siruela
Crimen y castigo;Adulta;Gutenberg;Data/Literature/crimen_y_castigo.txt;Creative commons
El túnel;Adulta;Cátedra;Data/Literature/el_tunel.txt;Cátedra
El milagro secreto;Adulta;Biblioteca Ayacucho;Data/Literature/el_milagro_secreto.txt;Biblioteca Ayacucho
Más allá del muro del sueño;Adulta;Libros Tauro;Data/Literature/mas_alla_del_muro_del_sueno.txt;Libros Tauro
El extranjero;Adulta;Alianza;Data/Literature/el_extranjero.txt;Alianza
Crónica de una muerte anunciada;Adulta;Debolsillo;Data/Literature/cronica_de_una_muerte_anunciada.txt;Debolsillo
La familia de Pascual Duarte;Adulta;Austral;Data/Literature/la_familia_de_pascual_duarte.txt;Austral
Pedro Páramo;Adulta;Cátedra;Data/Literature/pedro_paramo.txt;Cátedra
El proceso;Adulta;Debolsillo;Data/Literature/el_proceso.txt;Debolsillo
El árbol de la ciencia;Adulta;Gutenberg;Data/Literature/el_arbol_de_la_ciencia.txt;Creative commons
