Title;Level;Publisher;Text file;License
En Familia;Infantil;Fundación Montemadrid;data/literature/en_familia.txt;Creative commons
Pájaro amarillo;Infantil;Apila Ediciones;data/literature/pajaro_amarillo.txt;Creative commons
Mi casa es un castillo;Infantil;El Hilo Ediciones;data/literature/mi_casa_es_un_castillo.txt;Creative commons
Coronavirus no es un príncipe ni una princesa;Infantil;Audacia Comunicación;data/literature/coronavirus_no_es_un_principe_ni_una_princesa.txt;Creative commons
Leotolda;Infantil;Silonia;data/literature/leotolda.txt;Creative commons
Rana de tres ojos;Infantil;Apila Ediciones;data/literature/rana_de_tres_ojos.txt;Creative commons
Caperucita roja;Infantil;Mundo Primaria;data/literature/caperucita_roja.txt;SafeCreative
La cenicienta;Infantil;Mundo Primaria;data/literature/la_cenicienta.txt;SafeCreative
La sirenita;Infantil;Mundo Primaria;data/literature/la_sirenita.txt;SafeCreative
Rapunzel;Infantil;Mundo Primaria;data/literature/rapunzel.txt;SafeCreative
Los tres cerditos;Infantil;Mundo Primaria;data/literature/los_tres_cerditos.txt;SafeCreative
Pinocho;Infantil;Mundo Primaria;data/literature/pinocho.txt;SafeCreative
Peter Pan;Infantil;Mundo Primaria;data/literature/peter_pan.txt;SafeCreative
Hansel y Gretel;Infantil;Mundo Primaria;data/literature/hansel_y_gretel.txt;SafeCreative
Blancanieves;Infantil;Mundo Primaria;data/literature/blancanieves.txt;SafeCreative
Bambi;Infantil;Mundo Primaria;data/literature/bambi.txt;SafeCreative
La bella durmiente;Infantil;Mundo Primaria;data/literature/la_bella_durmiente.txt;SafeCreative
El mago de Oz;Infantil;Mundo Primaria;data/literature/el_mago_de_oz.txt;SafeCreative
El patito feo;Infantil;Mundo Primaria;data/literature/el_patito_feo.txt;SafeCreative
El gato con botas;Infantil;Mundo Primaria;data/literature/el_gato_con_botas.txt;SafeCreative
Aladino;Infantil;Mundo Primaria;data/literature/aladino.txt;SafeCreative
Ricitos de Oro;Infantil;Mundo Primaria;data/literature/ricitos_de_oro.txt;SafeCreative
Historia de una gaviota y el gato que la enseñó a volar;Infantil;Tusquets;data/literature/historia_de_una_gaviota_y_el_gato_que_la_enseno_a_volar.txt;Tusquets
El Principito;Infantil;Creative Commons;data/literature/el_principito.txt;Creative commons
Jack y las habichuelas mágicas;Infantil;Letra Impresa;data/literature/jack_y_las_habichuelas_magicas.txt;Letra Impresa
Los siete cabritos y el lobo;Infantil;Son cuentos infantiles;data/literature/los_siete_cabritos_y_el_lobo.txt;Creative commons
La reina de las nieves;Infantil;Ciudad Seva;data/literature/la_reina_de_las_nieves.txt;Creative commons
El flautista de Hamelin;Infantil;Teatro musical infantil;data/literature/el_flautista_de_hamelin.txt;Creative commons
El soldadito de plomo;Infantil;Ciudad Seva;data/literature/el_soldadito_de_plomo.txt;Creative commons
Los cisnes salvajes;Infantil;Ciudad Seva;data/literature/los_cisnes_salvajes.txt;Creative commons
El príncipe feliz;Juvenil;Elejandria;data/literature/el_principe_feliz.txt;Creative commons
El ruiseñor y la rosa;Juvenil;Elejandria;data/literature/el_ruisenor_y_la_rosa.txt;Creative commons
El gigante egoísta;Juvenil;Elejandria;data/literature/el_gigante_egoista.txt;Creative commons
El amigo fiel;Juvenil;Elejandria;data/literature/el_amigo_fiel.txt;Creative commons
El famoso cohete;Juvenil;Elejandria;data/literature/el_famoso_cohete.txt;Creative commons
El manuscrito de un loco;Juvenil;Elejandria;data/literature/el_manuscrito_de_un_loco.txt;Creative commons
La noche del muñeco viviente;Juvenil;Ediciones B;data/literature/la_noche_del_muneco_viviente.txt;Ediciones B
La noche del muñeco viviente 2;Juvenil;Ediciones B;data/literature/la_noche_del_muneco_viviente_2.txt;Ediciones B
Aventura espeluznante;Juvenil;Ediciones B;data/literature/aventura_espeluznante.txt;Ediciones B
Caperucita en Manhattan;Juvenil;Siruela;data/literature/caperucita_en_manhattan.txt;Siruela
Crimen y castigo;Adulta;Gutenberg;data/literature/crimen_y_castigo.txt;Creative commons
El túnel;Adulta;Cátedra;data/literature/el_tunel.txt;Cátedra
El milagro secreto;Adulta;Biblioteca Ayacucho;data/literature/el_milagro_secreto.txt;Biblioteca Ayacucho
Más allá del muro del sueño;Adulta;Libros Tauro;data/literature/mas_alla_del_muro_del_sueno.txt;Libros Tauro
El extranjero;Adulta;Alianza;data/literature/el_extranjero.txt;Alianza
Crónica de una muerte anunciada;Adulta;Debolsillo;data/literature/cronica_de_una_muerte_anunciada.txt;Debolsillo
La familia de Pascual Duarte;Adulta;Austral;data/literature/la_familia_de_pascual_duarte.txt;Austral
Pedro Páramo;Adulta;Cátedra;data/literature/pedro_paramo.txt;Cátedra
El proceso;Adulta;Debolsillo;data/literature/el_proceso.txt;Debolsillo
El árbol de la ciencia;Adulta;Gutenberg;data/literature/el_arbol_de_la_ciencia.txt;Creative commons
