Lexical item;Level
ácido;B1
áfrica;B1
águila;B1
álbum;B1
álbum de fotos;B1
álgebra;B2
ángulo;B2
ángulo recto;B2
árbitro;B1
árbol;A1
árbol frutal;B1
área;B2
área de conocimiento;B2
área de descanso;B2
área de estudio;B2
área de servicio;B1
área protegida;B2
área virgen;B2
ático;B2
átomo;B2
época;B1
éxito;A2
índice;B1
índice de mortalidad;B2
índice de natalidad;B2
índice de población;B2
íntimo;B2
íntimo amigo;B2
írsele el santo al cielo;B2
óleo;B2
ópera;A2
órgano;B2
órgano sensorial;B2
a cobro revertido;B2
a disgusto;B2
a fuego lento;B2
a hombros;B2
a la derecha;A1
a la derecha de;A1
a la izquierda;A1
a la izquierda de;A1
a la plancha;A2
a máquina;B2
a mano;B2
a medias;B2
a ordenador;B2
a pie;A1
a su cargo;B2
a tiempo completo;A2
a tiempo parcial;A2
año lectivo;B2
abandonar;B1
abandonar los estudios;B2
abdominales;B1
abeja;B1
abiertamente;B2
abierto;A2
abogado;A1
abogado criminalista;B2
abogado defensor;B2
abogado laboralista;B2
abono orgánico;B2
abortar;B2
aborto;B2
abrazar;B1
abrazarse;B1
abrebotellas;B2
abrelatas;B2
abrigo;A2
abril;A1
abrir;B1
abrir el buzón;B1
abrir la correspondencia;B2
abrir un documento;B1
abrir un regalo;B1
abrir una botella;B1
abrir una cuenta;B1
abrirse una cuenta de correo electrónico;B1
abrochar;A2
abrocharse;A2
abrocharse el cinturón;A2
absolutamente;B1
absoluto;B1
abstención;B2
abstenerse;B2
abstracto;B2
abuelo;A1
abundancia;B2
abundancia de;B2
aburrido;B1
aburrimiento;B1
aburrirse;B1
acabar;A2
acabar el bachillerato;B1
acabar un doctorado;B1
acabar un máster;B1
acabar una carrera;B1
acabar una relación;B1
academia;A2
academia de ballet;A2
academia de idiomas;A2
academia de música;A2
acampada;B2
acampar;B2
acariciar;B2
acceder;B1
acceder a un enlace;B2
acceder a una página de internet;B1
acceder a una página web;B1
acción;B2
accidente;A2
accidente aéreo;B2
accidente de coche;B1
accidente de tráfico;B1
accionista;B2
aceite;A2
aceite de girasol;B1
aceite de oliva;B1
aceite vegetal;B1
aceitera;B2
aceituna;B1
acelerar;B1
aceptar;B1
acera;A1
acertar;B2
acierto;B2
acogedor;B2
acoger;B2
acomodador;B2
acomplejado;B2
acorde con sus capacidades;B2
acostarse;A2
actitud;B1
actitud agradable;B1
actitud extraña;B1
actitud positiva;B1
actividad;A1
actividad callejera;B2
actividad en grupos;B1
actividad en parejas;B1
actividad individual;B1
actividad industrial;B2
acto;B2
acto académico;B2
acto formal;B2
acto informal;B2
acto oficial;B2
acto religioso;B2
acto sencillo;B2
acto solemne;B2
actor;A1
actriz;A1
actuación;B2
actualizar;B2
actuar;B2
actuar correctamente;B2
acuático;B1
acuíferos;B2
acuarela;B2
acuario;B1
acudir;B1
acumular;B2
acusado;B1
acusar;B1
acuse de recibo;B2
adaptación;B2
adelantar;B2
adelgazar;B1
además;A2
adiós;A1
aditivos;B2
adivinar;A2
adjudicar;B2
adjuntar;B1
adjuntar un documento;B1
administración;B1
administrador;B2
administrativo;B1
admiración;B2
admirado;B2
admirar;A2
admitir;B1
adolescencia;B1
adolescente;A2
adoptar;B2
adoptar un niño;B1
adoptivo;B2
adorar;B2
adorno;B2
adquirir experiencia;B1
ADSL;B2
adulto;B1
aeropuerto;A1
afectuosamente;B2
afeitarse;A2
afición;A2
aficionado;B2
afrontar;B2
afueras;B1
agachado;B2
agacharse;B2
agencia;B1
agencia de fotografía;B1
agencia de prensa;B1
agencia de viajes;A2
agenda;A2
agente;B2
agente de policía;B2
agilizar;B2
agnóstico;B2
agobiado;B2
agobiarse;B2
agosto;A1
agotado;B1
agotar;B2
agotarse;B2
agotarse los recursos naturales;B2
agotarse un libro;B2
agrícola;B2
agradable;A2
agradecido;B2
agresividad;B2
agricultor;A2
agricultura;B1
agricultura ecológica;B2
agrio;B2
agua;A1
agua con gas;A1
agua del grifo;B2
agua mineral;A1
agua mineral con gas;A1
agua mineral sin gas;A1
agua oxigenada;B1
agua potable;B2
agua sin gas;A1
aguantar;B2
aguja;B2
agujero;B1
agujero de la capa de ozono;B1
ahogar;B1
ahorrar;B2
ahorrar dinero;B2
ahorro;B1
ahorro energético;B2
aire;A2
aire acondicionado;A1
ajardinado;B2
ajedrez;A2
ajo;A2
ajustado;B2
ajustar;B1
ajustarse;B2
al contado;B2
al dedillo;B2
al lado;A1
al lado de;A1
al vapor;B2
alérgico;A2
ala delta;B1
alarma;B2
alas de pavo;B2
alas de pollo;B2
albañil;B2
albañilería;B2
albahaca;B2
albergue;B2
albornoz;B2
alcalde;B1
alcanzar;B1
alcohólico;B2
alcohol;B1
alegato;B2
alegría;B1
alegrarse;B1
alegre;A1
alemán;A1
alergia;A2
alfiler;B2
alfombra;A2
alfombrilla;A2
alga;B2
algodón;B1
aliñado;B1
aliñar;B1
aliñar una ensalada;B1
aliado;B2
alianza de oro;B2
alianza de plata;B2
alimentación;B1
alimentación equilibrada;B1
alimentación sana;B1
alimentar;B1
alimentarse;B1
alimento;B1
alimento básico;B2
alimento bajo en azúcar;B2
alimento bajo en calorías;B2
alimento bajo en sal;B2
alimento congelado;B2
alimento dietético;B2
alimento fresco;B2
alimento ligero;B1
alimento nutritivo;B2
alimento orgánico;B2
alimento pesado;B1
alimento rico en calcio;B2
alimento rico en calorías;B2
alimento rico en fibra;B2
alimento rico en hierro;B2
alimento rico en proteínas;B2
alimento rico en vitaminas;B2
alimentos transgénicos;B2
alisar;B1
aliviado;B2
alivio;B2
alma;B2
almacén;B2
almacenar;B2
almeja;B2
almendra;B2
almohada;A2
alojamiento;A2
alojarse;B1
alojarse en un apartamento;B2
alojarse en un bungaló;B2
alojarse en un hotel;B2
alojarse en una cabaña;B2
alpinismo;B2
alquilar;B1
alquilar un apartamento;B2
alquilar un bungaló;B2
alquilar un piso;A1
alquilar una cabaña;B2
alquilar una película;B1
alquiler;B1
alrededores;B2
altavoz;B2
alternar;B2
alternativo;B2
altitud;B2
alto;B1
altura;B1
alubia;B1
aluminio;B2
alumnado;B2
alumno;A1
alumno brillante;B2
alumno conflictivo;B2
alumno de la escuela;A2
alumno del instituto;A2
alumno estudioso;B2
alzar;B1
