Title;Level;Publisher;Text file;Type
Una música tan triste;Avanzado;Edinumen;data/readers/una_musica_tan_triste.txt;Graded reader
Misiones guaraníes;Avanzado;Editorial S.M.;data/readers/misiones_guaranies.txt;Graded reader
Una etiqueta olvidada;Avanzado;Difusión;data/readers/una_etiqueta_olvidada.txt;Graded reader
Los polifacéticos;Avanzado;Editorial S.M.;data/readers/los_polifaceticos.txt;Graded reader
Los labios de Bárbara;Avanzado;Edinumen;data/readers/los_labios_de_barbara.txt;Graded reader
Noventa y seis horas y media en ninguna parte;Avanzado;Edinumen;data/readers/noventa_y_seis_horas_y_media_en_ninguna_parte.txt;Graded reader
La Poesía del Romanticismo;Avanzado;SGEL;data/readers/la_poesia_del_romanticismo.txt;Graded reader
Do de pecho;Avanzado;Edelsa;data/readers/do_de_pecho.txt;Graded reader
París de la Belle époque;Avanzado;Editorial S.M.;data/readers/paris_de_la_belle_epoque.txt;Graded reader
Congreso en Granada;Avanzado;Edelsa;data/readers/congreso_en_granada.txt;Graded reader
La última novela;Avanzado;Edinumen;data/readers/la_ultima_novela.txt;Graded reader
La expedición de la Kon-Tiki;Avanzado;Editorial S.M.;data/readers/la_expedicion_de_la_kon_tiki.txt;Graded reader
Don Quijote de la Mancha. Parte I.;Avanzado;Grafisk Forlag;data/readers/don_quijote_de_la_mancha_parte_i.txt;Graded reader
Don Quijote de la Mancha. Parte II.;Avanzado;Grafisk Forlag;data/readers/don_quijote_de_la_mancha_parte_ii.txt;Graded reader
Un sueño muy extraño;Intermedio;SGEL;data/readers/un_sueno_muy_extrano.txt;Graded reader
Lola;Intermedio;Edelsa;data/readers/lola.txt;Graded reader
El secreto de Cristóbal Colón;Intermedio;Santillana;data/readers/el_secreto_de_cristobal_colon.txt;Graded reader
Una morena y una rubia;Intermedio;Edelsa;data/readers/una_morena_y_una_rubia.txt;Graded reader
La batalla del tomate;Intermedio;Difusión;data/readers/la_batalla_del_tomate.txt;Graded reader
Memorias de septiembre;Intermedio;Edinumen;data/readers/memorias_de_septiembre.txt;Graded reader
Muerte entre muñecos;Intermedio;Edinumen;data/readers/muerte_entre_munecos.txt;Graded reader
Guantanameras;Intermedio;Difusión;data/readers/guantanameras.txt;Graded reader
Una mujer en apuros;Intermedio;SGEL;data/readers/una_mujer_en_apuros.txt;Graded reader
En busca del oro carmesí;Intermedio;Difusión;data/readers/en_busca_del_oro_carmesi.txt;Graded reader
El paso del fuego;Intermedio;Difusión;data/readers/el_paso_del_fuego.txt;Graded reader
Taxi a Coyoacán;Intermedio;Difusión;data/readers/taxi_a_coyoacan.txt;Graded reader
Las nietas de mayo;Intermedio;Difusión;data/readers/las_nietas_de_mayo.txt;Graded reader
Más conchas que un galápago;Intermedio;Difusión;data/readers/mas_conchas_que_un_galapago.txt;Graded reader
Lazarillo de Tormes;Intermedio;Grafisk Forlag;data/readers/lazarillo_de_tormes.txt;Graded reader
Las hermanas coloradas;Intermedio;Grafisk Forlag;data/readers/las_hermanas_coloradas.txt;Graded reader
Leyendas de Guatemala;Intermedio;Grafisk Forlag;data/readers/leyendas_de_guatemala.txt;Graded reader
Papel mojado;Intermedio;Grafisk Forlag;data/readers/papel_mojado.txt;Graded reader
Réquiem por un campesino español;Intermedio;Grafisk Forlag;data/readers/requiem_por_un_campesino_espanol.txt;Graded reader
El sueño de Otto;Inicial;Santillana;data/readers/el_sueno_de_otto.txt;Graded reader
Gente que lee;Inicial;Difusión;data/readers/gente_que_lee.txt;Graded reader
Amnesia;Inicial;Edinumen;data/readers/amnesia.txt;Graded reader
El delfín;Inicial;Coloquio;data/readers/el_delfin.txt;Graded reader
Por soñar…;Inicial;Santillana;data/readers/por_sonar….txt;Graded reader
Lejos de casa;Inicial;Difusión;data/readers/lejos_de_casa.txt;Graded reader
Vuelo 505 con destino a Caracas;Inicial;Difusión;data/readers/vuelo_505_con_destino_a_caracas.txt;Graded reader
El hombre del bar;Inicial;Santillana;data/readers/el_hombre_del_bar.txt;Graded reader
El misterio de la llave;Inicial;Santillana;data/readers/el_misterio_de_la_llave.txt;Graded reader
Paisaje de otoño;Inicial;Edinumen;data/readers/paisaje_de_otono.txt;Graded reader
Doce a las doce;Inicial;Edelsa;data/readers/doce_a_las_doce.txt;Graded reader
Amor en línea;Inicial;Difusión;data/readers/amor_en_linea.txt;Graded reader
Sin noticias;Inicial;Difusión;data/readers/sin_noticias.txt;Graded reader
Apartamento en la Costa Brava;Inicial;Difusión;data/readers/apartamento_en_la_costa_brava.txt;Graded reader
Fantasmas en la escalera;Inicial;Difusión;data/readers/fantasmas_en_la_escalera.txt;Graded reader
Vacaciones al sol;Inicial;Difusión;data/readers/vacaciones_al_sol.txt;Graded reader
Muy lejos de Madrid;Inicial;Grafisk Forlag;data/readers/muy_lejos_de_madrid.txt;Graded reader
