Lexical item;Level;Topic;Subtopic
A cobro revertido;B2;Comunicación;Comunicación personal
A fuego lento;B2;Alimentación;Alimentación nutritiva
A la derecha;A1-A2;Trabajo;En la oficina
A la derecha de;A1-A2;Trabajo;En la oficina
A la izquierda;A1-A2;Trabajo;En la oficina
A la izquierda de;A1-A2;Trabajo;En la oficina
A la plancha;A1-A2;Alimentación;En el restaurante
A pie;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
A tiempo completo;A1-A2;Trabajo;Profesiones
A tiempo parcial;A1-A2;Trabajo;Profesiones
ADSL;B2;Comunicación;Comunicación personal
Abdominales;B1;Salud y cuidados personales;El cuerpo humano y la salud
Abeja;B1;Geografía y naturaleza;En el campo
Abierto;A1-A2;Individuo y relaciones personales;Carácter
Abogado;A1-A2;Trabajo;Profesiones
Abogado criminalista;B2;Justicia;Ley y orden
Abogado defensor;B2;Justicia;Ley y orden
Abono orgánico;B2;Medioambiente;Problemas medioambientales
Abrigo;A1-A2;Compras y tiendas;Ropa
Abril;A1-A2;Fecha y hora;Meses
Abrir una cuenta;B1;Medios de comunicación;Internet
Abrochar;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Abrocharse;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Abrocharse el cinturón;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Abstracto;B2;Artes;Artes plásticas
Abuelo;A1-A2;Individuo y relaciones personales;Familia
Abundancia;B2;Alimentación;Alimentación nutritiva
Abundancia de;B2;Alimentación;Alimentación nutritiva
Aburrido;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Aburrimiento;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Aburrirse;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Academia;A1-A2;Educación;Objetos y acciones del aula
Acceder;B1;Medios de comunicación;Internet
Accidente de tráfico;B1;Viajes, alojamiento y transporte;La conducción
Acciones;B2;Economía;Economía y finanzas
Accionista;B2;Economía;Economía y finanzas
Aceite;A1-A2;Alimentación;Alimentos
Aceite de oliva;B1;Alimentación;Alimentación sana / menús, platos, recetas
Aceite vegetal;B1;Alimentación;Alimentación sana / menús, platos, recetas
Aceitera;A1-A2;Alimentación;Utensilios de cocina y de mesa
Aceituna;B1;Alimentación;Alimentación sana / menús, platos, recetas
Aceitunas;A1-A2;Alimentación;En el restaurante
Acelerar;B1;Viajes, alojamiento y transporte;La conducción
Acera;A1-A2;Ciudad;Ciudad
Acertar;B2;Ocio;Juegos y pasatiempos
