Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
ácido,B1,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
áfrica,B1,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
águila,B1,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
álbum,B1,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
álbum de fotos,B1,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
álgebra,B2,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
ángulo,B2,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
ángulo recto,B2,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
árbitro,B1,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
árbol,A1,18,73639,0.00024443569304308856,0.00029425859098018345,"(2, 22, 9.11111111111111, 2, 13, 5.333333333333333)",339.7173913043478,73639,0.004613280887903798,0.0027900763697894476,"(3.5869565217391304, 24.152173913043477, 9.988665555787904, 2.1739130434782608, 13.826086956521738, 5.619009485945157)"
árbol frutal,B1,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
área,B2,1,73639,1.3579760724616033e-05,0.00024295558859389044,"(7, 7, 7.0, 3, 3, 3.0)",272.75,73639,0.0037038797376390225,0.0031199330138686923,"(4.5, 18.75, 8.395699396064678, 2, 10.25, 4.4867913500876675)"
área de conocimiento,B2,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
área de descanso,B2,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
área de estudio,B2,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
área de servicio,B1,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
área protegida,B2,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
área virgen,B2,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
ático,B2,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
átomo,B2,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
época,B1,11,73639,0.00014937736797077634,0.000572247475527675,"(3, 17, 8.090909090909092, 1, 14, 5.0)",386.1764705882353,73639,0.005244184068064956,0.003320973736846946,"(3.588235294117647, 24.294117647058822, 9.812908963703102, 1.7647058823529411, 14.029411764705882, 5.440836976510875)"
éxito,A2,6,73639,8.147856434769619e-05,0.0012468396803029754,"(2, 11, 6.666666666666667, 1, 4, 3.1666666666666665)",428.6666666666667,73639,0.005821190763952072,0.003800428914473674,"(3.238095238095238, 23.047619047619047, 9.03901293273059, 1.7619047619047619, 14.142857142857142, 5.259420968051702)"
índice,B1,0,73639,0.0,0.0,"(None, None, None, None, None, None)",0.0,73639,0.0,0.0,"(None, None, None, None, None, None)"
