Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
ácido,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
áfrica,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
águila,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
álbum,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
álbum de fotos,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
álgebra,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
ángulo,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
ángulo recto,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
árbitro,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
árbol,A1,7,74774,9.361542782250516e-05,0.0002571283954250795,"(3, 8, 5.428571428571429, 2, 5, 3.7142857142857144)",442.85,74774,0.005922513173028058,0.00364926536600785,"(2.95, 14.05, 5.774761209526663, 1.85, 7.3, 3.561669161040011)"
árbol frutal,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
área,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
área de conocimiento,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
área de descanso,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
área de estudio,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
área de servicio,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
área protegida,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
área virgen,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
ático,B2,6,74774,8.024179527643298e-05,6.707524021820917e-05,"(4, 8, 5.666666666666667, 1, 5, 3.0)",876.0714285714286,74774,0.011716257369826791,0.006934631668200324,"(2.2142857142857144, 18.642857142857142, 5.938931131663556, 1.1428571428571428, 10.714285714285714, 3.3721201800493628)"
átomo,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
época,B1,4,74774,5.3494530184288656e-05,6.564482832082016e-05,"(4, 10, 7.25, 2, 4, 3.5)",613.7058823529412,74774,0.008207476961951229,0.005810259150964939,"(2.235294117647059, 17.941176470588236, 5.958469921838252, 1.1764705882352942, 9.352941176470589, 3.3212340511460354)"
éxito,A2,5,74774,6.686816273036083e-05,0.00018500088184520894,"(3, 7, 5.4, 3, 5, 3.6)",541.6,74774,0.007243159386952684,0.005088980126107553,"(2.45, 16.1, 5.74031335105235, 1.45, 8.95, 3.4620196902795692)"
índice,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
índice de mortalidad,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
índice de natalidad,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
índice de población,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
íntimo,B2,1,74774,1.3373632546072164e-05,4.5743526117955014e-05,"(6, 6, 6.0, 2, 2, 2.0)",570.0,74774,0.007622970551261134,0.00973535232187752,"(1, 17, 5.364912280701755, 1, 11, 3.0298245614035086)"
íntimo amigo,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
írsele el santo al cielo,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
óleo,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
ópera,A2,2,74774,2.6747265092144328e-05,4.118041849338664e-05,"(5, 5, 5.0, 3, 6, 4.5)",994.1428571428571,74774,0.013295301269730884,0.006969978071310587,"(2.142857142857143, 18, 5.812381826010993, 1, 10, 3.2553540914909918)"
órgano,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
órgano sensorial,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
a cobro revertido,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
a disgusto,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
a fuego lento,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
a hombros,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
a la derecha,A1,9,74774,0.00012036269291464948,0.00018886674796064385,"(4, 9, 6.888888888888889, 2, 5, 3.3333333333333335)",527.8,74774,0.007058603257816888,0.004494785687821518,"(2.44, 16, 6.0593994667932085, 1.48, 8.6, 3.4157586336904515)"
a la derecha de,A1,2,74774,2.6747265092144328e-05,5.027575083626662e-05,"(8, 8, 8.0, 4, 5, 4.5)",633.25,74774,0.008468852809800198,0.0038441896478696477,"(2.375, 15.375, 6.236791470425604, 1.5, 9, 3.544666157841705)"
a la izquierda,A1,3,74774,4.012089763821649e-05,0.00015270584316483368,"(3, 4, 3.6666666666666665, 2, 4, 3.0)",536.125,74774,0.0071699387487629395,0.0058715495914959575,"(2.125, 17.5, 6.089479062556575, 1.25, 9.375, 3.4511392734989013)"
a la izquierda de,A1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
a la plancha,A2,1,74774,1.3373632546072164e-05,7.75456562691846e-05,"(4, 4, 4.0, 4, 4, 4.0)",426.4,74774,0.005702516917645171,0.0038838953676629943,"(2.4, 14.6, 5.758741131353339, 1.6, 7.4, 3.2287382971687286)"
a máquina,B2,1,74774,1.3373632546072164e-05,3.7249019936074054e-05,"(5, 5, 5.0, 4, 4, 4.0)",583.75,74774,0.007806857998769626,0.006147220754502635,"(2.5, 15.5, 5.676860763424424, 1.25, 10, 3.4253522001904217)"
a mano,B2,1,74774,1.3373632546072164e-05,7.076993344082416e-05,"(7, 7, 7.0, 3, 3, 3.0)",1007.1666666666666,74774,0.013469476912652347,0.008220710012855773,"(2.8333333333333335, 18.333333333333332, 6.046459388320971, 1.3333333333333333, 10.833333333333334, 3.637475017854996)"
a medias,B2,1,74774,1.3373632546072164e-05,4.7606145823851446e-05,"(4, 4, 4.0, 3, 3, 3.0)",261.0,74774,0.0034905180945248348,0.004564657096174966,"(2, 18.333333333333332, 6.035297488007692, 1, 8, 3.083632393516847)"
a ordenador,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
a pie,A1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
a su cargo,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
a tiempo completo,A2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
a tiempo parcial,A2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
año lectivo,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abandonar,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abandonar los estudios,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abdominales,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abeja,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abiertamente,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abierto,A2,16,74774,0.00021397812073715463,0.00040585351472264186,"(2, 12, 6.1875, 2, 6, 3.5)",392.3243243243243,74774,0.005246801352399555,0.004180458962125585,"(2.054054054054054, 17.135135135135137, 5.991681070425175, 1.2972972972972974, 8.837837837837839, 3.429066490707351)"
abogado,A1,6,74774,8.024179527643298e-05,0.00011705891758560371,"(2, 7, 5.0, 2, 3, 2.5)",542.3,74774,0.007252520929734934,0.005488446743075081,"(2.25, 16.55, 5.707726057386132, 1.2, 9.1, 3.0934344411892405)"
abogado criminalista,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abogado defensor,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abogado laboralista,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abono orgánico,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abortar,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
aborto,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrazar,B1,1,74774,1.3373632546072164e-05,1.3885125865290004e-05,"(11, 11, 11.0, 4, 4, 4.0)",723.8,74774,0.009679835236847033,0.006206388514430342,"(3.8, 18.2, 7.137035325320755, 2, 10.4, 3.778552197275858)"
abrazarse,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrebotellas,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrelatas,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrigo,A2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abril,A1,3,74774,4.012089763821649e-05,3.2911677753835155e-05,"(12, 16, 13.333333333333334, 4, 11, 6.666666666666667)",753.375,74774,0.010075360419397116,0.00477112524213593,"(3.5, 17.375, 7.247649308159374, 2.625, 11, 4.828763167745636)"
abrir,B1,53,74774,0.0007088025249418247,0.00136448301451108,"(2, 17, 5.320754716981132, 1, 6, 3.358490566037736)",250.8658536585366,74774,0.0033549877451859813,0.002786013819143129,"(2.5121951219512195, 14.341463414634147, 5.993472733036, 1.6341463414634145, 7.865853658536586, 3.5082260661250553)"
abrir el buzón,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrir la correspondencia,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrir un documento,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrir un regalo,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrir una botella,B1,1,74774,1.3373632546072164e-05,1.3224236241825385e-05,"(6, 6, 6.0, 5, 5, 5.0)",531.1666666666666,74774,0.007103627820721998,0.0037044937949911316,"(2.6666666666666665, 14.166666666666666, 5.825373005066188, 2, 8.5, 3.7221030535609136)"
abrir una cuenta,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrirse una cuenta de correo electrónico,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrochar,A2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrocharse,A2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abrocharse el cinturón,A2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
absolutamente,B1,1,74774,1.3373632546072164e-05,0.000110779508955978,"(4, 4, 4.0, 3, 3, 3.0)",348.25,74774,0.004657367534169631,0.006438814703466813,"(1.75, 14.25, 5.708433060794343, 1, 9, 2.884681715026937)"
absoluto,B1,2,74774,2.6747265092144328e-05,0.0001425955839731712,"(2, 5, 3.5, 2, 4, 3.0)",484.0,74774,0.006472838152298928,0.006255487381540738,"(1.6666666666666667, 17, 5.765087964502685, 1, 9.666666666666666, 3.08036602000615)"
abstención,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abstenerse,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abstracto,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abuelo,A1,12,74774,0.00016048359055286597,0.00016972501435878734,"(2, 14, 6.083333333333333, 2, 6, 3.5)",629.4583333333334,74774,0.008418144453063008,0.005637056515555695,"(2.2083333333333335, 17.625, 6.041746750318396, 1.25, 10.291666666666666, 3.4736461761749418)"
abundancia,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
abundancia de,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
aburrido,B1,3,74774,4.012089763821649e-05,6.951139090200122e-05,"(4, 6, 4.666666666666667, 1, 5, 2.6666666666666665)",296.2857142857143,74774,0.003962416271507667,0.004055043478254067,"(2.142857142857143, 13.428571428571429, 5.407692614059859, 1.2857142857142858, 8.142857142857142, 2.967049366289677)"
aburrimiento,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
aburrirse,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acabar,A2,9,74774,0.00012036269291464948,0.00043635030049432285,"(2, 14, 5.111111111111111, 1, 7, 3.6666666666666665)",490.125,74774,0.006554751651643619,0.0043769534748941945,"(2.1666666666666665, 15.916666666666666, 5.519665763736827, 1.4583333333333333, 8.583333333333334, 3.469778926621997)"
acabar el bachillerato,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acabar un doctorado,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acabar un máster,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acabar una carrera,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acabar una relación,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
academia,A2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
academia de ballet,A2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
academia de idiomas,A2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
academia de música,A2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acampada,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acampar,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acariciar,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acceder,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acceder a un enlace,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acceder a una página de internet,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acceder a una página web,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
acción,B2,2,74774,2.6747265092144328e-05,5.2590446571687415e-05,"(3, 7, 5.0, 4, 5, 4.5)",1304.6,74774,0.017447241019605746,0.008131626760114231,"(3.2, 16.8, 5.8302003979291195, 2, 10.6, 3.678762480114704)"
accidente,A2,17,74774,0.0002273517532832268,0.00029348039649865166,"(2, 11, 6.294117647058823, 2, 6, 3.8823529411764706)",475.3243243243243,74774,0.006356812853723545,0.004930376450807215,"(2.7567567567567566, 15.945945945945946, 6.154246241463399, 1.5405405405405406, 8.702702702702704, 3.476538239956806)"
accidente aéreo,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
accidente de coche,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
accidente de tráfico,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
accionista,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
aceite,A2,1,74774,1.3373632546072164e-05,2.1121895561936455e-05,"(3, 3, 3.0, 4, 4, 4.0)",696.3333333333334,74774,0.009312506129581583,0.007057470068114042,"(2, 16, 5.5831885820160965, 1.6666666666666667, 10, 3.6310086271785074)"
aceite de girasol,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
aceite de oliva,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
aceite vegetal,B1,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
aceitera,B2,0,74774,0.0,0.0,"(None, None, None, None, None, None)",0.0,74774,0.0,0.0,"(None, None, None, None, None, None)"
aceituna,B1,2,74774,2.6747265092144328e-05,3.9177484689134146e-05,"(6, 7, 6.5, 4, 5, 4.5)",444.85714285714283,74774,0.00594935596406696,0.003997886623671954,"(3, 14.428571428571429, 6.135991277492769, 1.4285714285714286, 7.428571428571429, 3.4567057600573174)"
acelerar,B1,1,74774,1.3373632546072164e-05,4.1869559808926566e-05,"(3, 3, 3.0, 3, 3, 3.0)",541.8,74774,0.007245834113461898,0.005291349677271891,"(2.6, 16.2, 5.565242451358019, 1.6, 10.4, 3.4597319024829463)"
