Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
ácido,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
áfrica,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
águila,B1,2,76069,2.6291919178640445e-05,3.830243354838605e-05,"(4, 14, 9.0, 4, 12, 8.0)",781.8333333333334,76069,0.010277949405583528,0.00490568117957854,"(3, 24.833333333333332, 8.790928365490975, 1.6666666666666667, 39.5, 5.16203701381121)"
álbum,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
álbum de fotos,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
álgebra,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
ángulo,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
ángulo recto,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
árbitro,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
árbol,A1,20,76069,0.00026291919178640443,0.00046030744076722873,"(5, 18, 9.65, 2, 11, 5.45)",297.1454545454545,76069,0.003906262137604735,0.002138729992759586,"(3.9454545454545453, 20.436363636363637, 9.082885167071872, 2.3454545454545452, 17.654545454545456, 5.126838314504273)"
árbol frutal,B1,1,76069,1.3145959589320222e-05,9.582727908922268e-06,"(10, 10, 10.0, 7, 7, 7.0)",1183.25,76069,0.015554956684063153,0.004244374570628412,"(3.25, 21.5, 8.19091975329502, 2.25, 27.25, 5.104064420252928)"
área,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
área de conocimiento,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
área de descanso,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
área de estudio,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
área de servicio,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
área protegida,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
área virgen,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
ático,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
átomo,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
época,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
éxito,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
índice,B1,3,76069,3.943787876796067e-05,6.881352404885218e-05,"(5, 12, 8.666666666666666, 3, 7, 5.666666666666667)",644.5,76069,0.008472570955316883,0.003786831401069257,"(3.7, 21.9, 8.711547972296842, 2.1, 27.1, 4.975546062628855)"
índice de mortalidad,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
índice de natalidad,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
índice de población,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
íntimo,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
íntimo amigo,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
írsele el santo al cielo,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
óleo,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
ópera,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
órgano,B2,1,76069,1.3145959589320222e-05,2.2665125332685952e-05,"(7, 7, 7.0, 4, 4, 4.0)",1370.8,76069,0.018020481405040163,0.005612203632868773,"(3.2, 23.8, 8.381379821928025, 1.6, 30.6, 4.686975736657981)"
órgano sensorial,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a cobro revertido,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a disgusto,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a fuego lento,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a hombros,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a la derecha,A1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a la derecha de,A1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a la izquierda,A1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a la izquierda de,A1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a la plancha,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a máquina,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a mano,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a medias,B2,1,76069,1.3145959589320222e-05,8.166853420250035e-06,"(8, 8, 8.0, 5, 5, 5.0)",939.2,76069,0.012346685246289553,0.003234835940797803,"(3, 19.8, 8.492779092679307, 2.2, 23.6, 4.855978808929615)"
a ordenador,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a pie,A1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a su cargo,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a tiempo completo,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
a tiempo parcial,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
año lectivo,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abandonar,B1,12,76069,0.00015775151507184268,0.00023371091084019085,"(3, 15, 8.166666666666666, 2, 8, 4.833333333333333)",421.2142857142857,76069,0.005537265978444382,0.0029329685720314164,"(2.880952380952381, 20.833333333333332, 8.363388577143823, 1.7857142857142858, 22.095238095238095, 4.8970253424788295)"
abandonar los estudios,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abdominales,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abeja,B1,1,76069,1.3145959589320222e-05,7.764207505383318e-06,"(9, 9, 9.0, 3, 3, 3.0)",740.0,76069,0.009728010096096964,0.007312673914981024,"(1, 27, 8.091891891891892, 1, 45, 4.128378378378378)"
abiertamente,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abierto,A2,16,76069,0.00021033535342912356,0.00041069435540384765,"(4, 17, 9.1875, 3, 9, 5.0625)",402.1707317073171,76069,0.005286920187031735,0.0031174770333180835,"(3.4146341463414633, 21.975609756097562, 8.850990463454345, 2, 22.365853658536587, 4.966533384677594)"
abogado,A1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abogado criminalista,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abogado defensor,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abogado laboralista,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abono orgánico,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abortar,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
aborto,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrazar,B1,13,76069,0.0001708974746611629,0.0005708488084076057,"(3, 15, 6.6923076923076925, 2, 8, 4.230769230769231)",389.5483870967742,76069,0.0051209873548590645,0.0027792652270344203,"(3.5161290322580645, 19.741935483870968, 8.691807834209435, 1.8709677419354838, 18, 4.578690707996235)"
abrazarse,B1,2,76069,2.6291919178640445e-05,0.0001403199998160829,"(5, 6, 5.5, 2, 3, 2.5)",838.3333333333334,76069,0.01102069612238012,0.006552489593701464,"(2.6666666666666665, 23, 8.114375328555644, 1.3333333333333333, 33, 4.538659438898938)"
abrebotellas,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrelatas,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrigo,A2,8,76069,0.00010516767671456178,0.00013388997463052146,"(5, 16, 10.75, 2, 7, 5.0)",566.6086956521739,76069,0.007448615016000919,0.0033071116292743676,"(3.391304347826087, 21.130434782608695, 8.454964031351532, 2, 22.565217391304348, 4.976512958635396)"
abril,A1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrir,B1,45,76069,0.00059156818151941,0.0008115674109777701,"(3, 22, 9.28888888888889, 2, 9, 5.222222222222222)",231.7826086956522,76069,0.0030470048074202655,0.0019441452020801222,"(3.5760869565217392, 19.456521739130434, 8.56850952899785, 2.0760869565217392, 16.195652173913043, 4.821105590131669)"
abrir el buzón,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrir la correspondencia,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrir un documento,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrir un regalo,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrir una botella,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrir una cuenta,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrirse una cuenta de correo electrónico,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrochar,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrocharse,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abrocharse el cinturón,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
absolutamente,B1,2,76069,2.6291919178640445e-05,4.243177912634372e-05,"(5, 6, 5.5, 4, 6, 5.0)",781.4285714285714,76069,0.010272628421940232,0.004574439539553435,"(2.5714285714285716, 21, 7.726309469716065, 1.5714285714285714, 24.142857142857142, 4.332803841242776)"
absoluto,B1,7,76069,9.202171712524156e-05,7.635232523417068e-05,"(5, 16, 9.0, 3, 6, 4.0)",524.6521739130435,76069,0.006897056276709875,0.0038554174938827067,"(3.0869565217391304, 22, 8.659415531959205, 1.826086956521739, 24.956521739130434, 4.78248832769458)"
abstención,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abstenerse,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abstracto,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abuelo,A1,2,76069,2.6291919178640445e-05,8.72764788217004e-05,"(5, 14, 9.5, 4, 4, 4.0)",986.1111111111111,76069,0.01296337681724633,0.004949242871633607,"(2.888888888888889, 21.88888888888889, 8.150442540001249, 1.4444444444444444, 28.666666666666668, 4.496039182228776)"
abundancia,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
abundancia de,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
aburrido,B1,3,76069,3.943787876796067e-05,5.796748533496593e-05,"(6, 9, 7.666666666666667, 3, 7, 5.666666666666667)",791.0,76069,0.010398454035152296,0.005075126961609577,"(2.375, 25.125, 8.173875267746158, 1.375, 32.125, 4.653254192052041)"
aburrimiento,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
aburrirse,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acabar,A2,21,76069,0.00027606515137572465,0.00042923277461724186,"(4, 20, 9.523809523809524, 2, 7, 4.619047619047619)",321.6290322580645,76069,0.004228122260816687,0.0026075489175983358,"(3.661290322580645, 20.43548387096774, 8.668688461136842, 2.0161290322580645, 17.14516129032258, 4.710875772034434)"
acabar el bachillerato,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acabar un doctorado,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acabar un máster,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acabar una carrera,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acabar una relación,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
academia,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
academia de ballet,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
academia de idiomas,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
academia de música,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acampada,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acampar,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acariciar,B2,9,76069,0.000118313636303882,0.00015913793948050048,"(6, 16, 9.88888888888889, 4, 6, 4.666666666666667)",405.65625,76069,0.005332740669655182,0.0025851810558561133,"(3.625, 20.34375, 8.570059380051307, 1.9375, 19.3125, 4.767796712607267)"
acceder,B1,1,76069,1.3145959589320222e-05,8.48447656993775e-05,"(4, 4, 4.0, 3, 3, 3.0)",1231.6666666666667,76069,0.01619144022751274,0.0067727653741975905,"(2.3333333333333335, 27, 8.527352047915793, 1.3333333333333333, 33.666666666666664, 4.604179524000689)"
acceder a un enlace,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acceder a una página de internet,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acceder a una página web,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acción,B2,2,76069,2.6291919178640445e-05,1.921255836308315e-05,"(9, 10, 9.5, 3, 7, 5.0)",904.2222222222222,76069,0.011886868793098663,0.004436512009775461,"(2.7777777777777777, 22.22222222222222, 7.8175300791143325, 1.3333333333333333, 25.333333333333332, 4.528241066859625)"
accidente,A2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
accidente aéreo,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
accidente de coche,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
accidente de tráfico,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
accionista,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
aceite,A2,7,76069,9.202171712524156e-05,0.00012947568705790207,"(4, 20, 10.285714285714286, 4, 7, 5.285714285714286)",570.6666666666666,76069,0.007501960938972074,0.0036610377688511735,"(4.428571428571429, 22.142857142857142, 9.451613396344705, 2.142857142857143, 22.142857142857142, 4.688964985329096)"
aceite de girasol,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
aceite de oliva,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
aceite vegetal,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
aceitera,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
aceituna,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acelerar,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
aceptar,B1,14,76069,0.00018404343425048312,0.0003093512876688613,"(3, 14, 7.714285714285714, 3, 7, 5.5)",348.9318181818182,76069,0.004587043581246213,0.0024584466878557845,"(3.2045454545454546, 19.045454545454547, 8.121341472271714, 2, 17.113636363636363, 4.6265614077056565)"
acera,A1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acertar,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acierto,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acogedor,B2,1,76069,1.3145959589320222e-05,0.00015867200612465447,"(4, 4, 4.0, 2, 2, 2.0)",149.33333333333334,76069,0.0019631299653384868,0.002652992779622813,"(3, 22, 8.854936461388075, 1.3333333333333333, 21.666666666666668, 4.896061597744627)"
acoger,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acomodador,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acomplejado,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acorde con sus capacidades,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acostarse,A2,1,76069,1.3145959589320222e-05,6.0228215372925196e-05,"(7, 7, 7.0, 4, 4, 4.0)",825.0,76069,0.010845416661189183,0.003995597397428903,"(2.6666666666666665, 24, 8.278751139100399, 1.5, 20.833333333333332, 4.501710771214469)"
actitud,B1,2,76069,2.6291919178640445e-05,2.005594300739615e-05,"(8, 18, 13.0, 3, 45, 24.0)",606.6363636363636,76069,0.007974817121775803,0.0036928427010873856,"(5.818181818181818, 21.181818181818183, 10.075767776463215, 9.363636363636363, 31.272727272727273, 11.89599882395893)"
actitud agradable,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actitud extraña,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actitud positiva,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actividad,A1,1,76069,1.3145959589320222e-05,5.673843946241656e-06,"(6, 6, 6.0, 8, 8, 8.0)",1226.6,76069,0.016124834032260185,0.0058676059971592065,"(2.4, 24, 8.145915612988283, 1.4, 31, 4.667549618904116)"
actividad callejera,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actividad en grupos,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actividad en parejas,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actividad individual,B1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actividad industrial,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acto,B2,4,76069,5.258383835728089e-05,7.153475793213396e-05,"(5, 11, 8.5, 3, 8, 5.0)",954.4615384615385,76069,0.012547312814175794,0.005276626905186041,"(3.1538461538461537, 23.76923076923077, 8.584608317111107, 1.9230769230769231, 30.846153846153847, 4.799776217221799)"
acto académico,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acto formal,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acto informal,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acto oficial,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acto religioso,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acto sencillo,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
acto solemne,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actor,A1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actriz,A1,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actuación,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actualizar,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
actuar,B2,1,76069,1.3145959589320222e-05,1.4374091863383401e-05,"(8, 8, 8.0, 5, 5, 5.0)",308.8333333333333,76069,0.004059910519835062,0.0019071320300846463,"(4.333333333333333, 17, 8.88436523508466, 2.5, 13.333333333333334, 4.702017174139476)"
actuar correctamente,B2,0,76069,0.0,0.0,"(None, None, None, None, None, None)",0.0,76069,0.0,0.0,"(None, None, None, None, None, None)"
