Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
ácido,B1,1,76643,1.3047505969233981e-05,7.301535575837978e-05,"(7, 7, 7.0, 3, 3, 3.0)",1567.6666666666667,76643,0.02045414019110247,0.006101068149058229,"(2.3333333333333335, 22.666666666666668, 7.2546071554300475, 1.3333333333333333, 17, 4.436644006750732)"
áfrica,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
águila,B1,2,76643,2.6095011938467962e-05,2.1723000747284157e-05,"(6, 13, 9.5, 4, 7, 5.5)",620.8571428571429,76643,0.008100637277470126,0.004893779439344189,"(2.7142857142857144, 20.428571428571427, 7.602894580927055, 2, 13.714285714285714, 4.7191356703693375)"
álbum,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
álbum de fotos,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
álgebra,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
ángulo,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
ángulo recto,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
árbitro,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
árbol,A1,32,76643,0.0004175201910154874,0.0004368094756396206,"(3, 15, 7.1875, 2, 10, 4.96875)",273.09722222222223,76643,0.0035632376371256633,0.0023160676338197187,"(3.4722222222222223, 17.958333333333332, 8.15677481146369, 2.3055555555555554, 11.375, 5.031044119874126)"
árbol frutal,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
área,B2,1,76643,1.3047505969233981e-05,4.79454281361336e-06,"(15, 15, 15.0, 5, 5, 5.0)",1462.0,76643,0.01907545372702008,0.00686814644698763,"(2, 25.25, 7.845150112407278, 1, 20, 4.5700013703567635)"
área de conocimiento,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
área de descanso,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
área de estudio,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
área de servicio,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
área protegida,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
área virgen,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
ático,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
átomo,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
época,B1,6,76643,7.828503581540388e-05,9.419532642974099e-05,"(4, 12, 7.333333333333333, 3, 11, 5.166666666666667)",560.2352941176471,76643,0.007309673344175555,0.003575036558273712,"(3.411764705882353, 19.058823529411764, 8.170119113153962, 2.411764705882353, 13.352941176470589, 5.093822042623513)"
éxito,A2,5,76643,6.523752984616991e-05,0.00019119351781875455,"(3, 7, 5.0, 1, 5, 4.0)",847.4666666666667,76643,0.011057326392060158,0.005690748587608609,"(2.7333333333333334, 20, 7.2214688921620205, 1.6666666666666667, 13.466666666666667, 4.517762950936758)"
índice,B1,1,76643,1.3047505969233981e-05,2.431423699596028e-05,"(7, 7, 7.0, 4, 4, 4.0)",351.6666666666667,76643,0.00458837293251395,0.0020684773577162256,"(3.1666666666666665, 21, 8.545970319682567, 1.8333333333333333, 10.666666666666666, 4.807249229317117)"
índice de mortalidad,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
índice de natalidad,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
índice de población,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
íntimo,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
íntimo amigo,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
írsele el santo al cielo,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
óleo,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
ópera,A2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
órgano,B2,2,76643,2.6095011938467962e-05,3.0516298947820787e-05,"(5, 10, 7.5, 4, 6, 5.0)",559.0,76643,0.007293555836801795,0.0025534740809891473,"(4.222222222222222, 17.666666666666668, 8.494385193210215, 3.2222222222222223, 11, 4.868464189659185)"
órgano sensorial,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a cobro revertido,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a disgusto,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a fuego lento,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a hombros,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a la derecha,A1,4,76643,5.2190023876935924e-05,0.00017923553876149118,"(3, 16, 9.0, 2, 6, 4.0)",547.0,76643,0.0071369857651709875,0.0037926782445126825,"(3.6470588235294117, 19.823529411764707, 8.446453497548431, 1.8823529411764706, 13.352941176470589, 4.567432837301439)"
a la derecha de,A1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a la izquierda,A1,4,76643,5.2190023876935924e-05,0.0003370552954933482,"(3, 16, 7.75, 2, 5, 3.0)",606.0,76643,0.007906788617355793,0.0033155771776472174,"(2.5833333333333335, 19.5, 7.748172235679828, 1.4166666666666667, 11.833333333333334, 4.336118671470959)"
a la izquierda de,A1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a la plancha,A2,1,76643,1.3047505969233981e-05,1.215711849798014e-05,"(8, 8, 8.0, 6, 6, 6.0)",142.25,76643,0.0018560077241235337,0.0014636717270156228,"(5.5, 12.25, 7.848404255319149, 4.25, 8, 5.550975177304965)"
a máquina,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a mano,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a medias,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a ordenador,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a pie,A1,1,76643,1.3047505969233981e-05,0.00010830643347285508,"(3, 3, 3.0, 3, 3, 3.0)",1035.6666666666667,76643,0.013512867015469993,0.005102936131737662,"(2.3333333333333335, 20.333333333333332, 6.473592868585242, 1.3333333333333333, 14, 4.090175668791529)"
a su cargo,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a tiempo completo,A2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
a tiempo parcial,A2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
año lectivo,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
abandonar,B1,2,76643,2.6095011938467962e-05,1.615223772183239e-05,"(12, 13, 12.5, 8, 11, 9.5)",762.0,76643,0.009942199548556293,0.0048732563824496625,"(2.375, 22.375, 8.111221279077562, 1.375, 14.875, 4.7264405843484365)"
abandonar los estudios,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
abdominales,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
abeja,B1,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
abiertamente,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
abierto,A2,16,76643,0.0002087600955077437,0.0005513087376738357,"(3, 19, 8.75, 3, 10, 6.125)",329.22222222222223,76643,0.00429552890964892,0.0028041371766584795,"(3.088888888888889, 20.6, 8.535897135560159, 1.8666666666666667, 11.88888888888889, 4.794708588926499)"
abogado,A1,5,76643,6.523752984616991e-05,6.0536561837967586e-05,"(4, 15, 7.4, 3, 6, 4.4)",618.1176470588235,76643,0.008064893689688863,0.003896688462838314,"(3.9411764705882355, 19.88235294117647, 8.438625835126473, 2, 12.352941176470589, 4.632499499604779)"
abogado criminalista,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
abogado defensor,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
abogado laboralista,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
abono orgánico,B2,0,76643,0.0,0.0,"(None, None, None, None, None, None)",0.0,76643,0.0,0.0,"(None, None, None, None, None, None)"
