Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
ácido,B1,7,203504,3.4397358282883873e-05,3.7876580790031954e-05,"(4, 12, 7.428571428571429, 2, 9, 5.714285714285714)",1059.8846153846155,203504,0.005208175836271599,0.0013358798976994496,"(3.8846153846153846, 28, 10.257966353647177, 2.5, 13.73076923076923, 6.246941401011817)"
áfrica,B1,0,203504,0.0,0.0,"(None, None, None, None, None, None)",0.0,203504,0.0,0.0,"(None, None, None, None, None, None)"
águila,B1,3,203504,1.4741724978378803e-05,1.3594325090139696e-05,"(8, 20, 13.0, 4, 6, 5.0)",1114.3333333333333,203504,0.005475731844746704,0.000872680859245485,"(5.166666666666667, 28.583333333333332, 10.701367365426966, 3.0833333333333335, 12.833333333333334, 5.920718469562615)"
álbum,B1,1,203504,4.913908326126268e-06,6.420487649315967e-06,"(8, 8, 8.0, 5, 5, 5.0)",2673.2,203504,0.01313585973740074,0.0016958399215673743,"(3.6, 36.8, 10.159835856062333, 2.2, 15.2, 5.927262443986166)"
álbum de fotos,B1,0,203504,0.0,0.0,"(None, None, None, None, None, None)",0.0,203504,0.0,0.0,"(None, None, None, None, None, None)"
álgebra,B2,0,203504,0.0,0.0,"(None, None, None, None, None, None)",0.0,203504,0.0,0.0,"(None, None, None, None, None, None)"
ángulo,B2,0,203504,0.0,0.0,"(None, None, None, None, None, None)",0.0,203504,0.0,0.0,"(None, None, None, None, None, None)"
ángulo recto,B2,0,203504,0.0,0.0,"(None, None, None, None, None, None)",0.0,203504,0.0,0.0,"(None, None, None, None, None, None)"
árbitro,B1,17,203504,8.353644154414655e-05,0.00011274168019030553,"(3, 21, 9.647058823529411, 3, 9, 5.176470588235294)",734.5744680851063,203504,0.0036096315948831786,0.0009864874032242531,"(3.851063829787234, 27.319148936170212, 10.618047477637848, 2.574468085106383, 12.25531914893617, 5.856736640842265)"
árbol,A1,5,203504,2.4569541630631338e-05,3.133565262637265e-05,"(5, 10, 7.6, 3, 6, 5.0)",989.3333333333334,203504,0.004861493303980921,0.0011437499135655228,"(4.190476190476191, 27.095238095238095, 9.84193827515666, 3.0476190476190474, 12.523809523809524, 6.192933295964212)"
árbol frutal,B1,0,203504,0.0,0.0,"(None, None, None, None, None, None)",0.0,203504,0.0,0.0,"(None, None, None, None, None, None)"
área,B2,17,203504,8.353644154414655e-05,7.991678201112861e-05,"(6, 19, 10.235294117647058, 3, 11, 6.117647058823529)",666.42,203504,0.0032747267866970672,0.0009351119310546154,"(5.06, 25.78, 11.501439237286116, 3, 13.02, 6.469233646549564)"
