Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
ácido,B1,0,76410,0.0,0.0,"(None, None, None, None, None, None)",0.0,76410,0.0,0.0,"(None, None, None, None, None, None)"
áfrica,B1,0,76410,0.0,0.0,"(None, None, None, None, None, None)",0.0,76410,0.0,0.0,"(None, None, None, None, None, None)"
águila,B1,1,76410,1.3087292239235702e-05,4.1007565170681565e-05,"(8, 8, 8.0, 5, 5, 5.0)",932.0,76410,0.012197356366967674,0.007562486473336016,"(2.25, 24.25, 7.162048057743897, 1.25, 15.25, 4.016928685185794)"
álbum,B1,2,76410,2.6174584478471403e-05,9.161418438829572e-06,"(9, 13, 11.0, 12, 14, 13.0)",1260.75,76410,0.01649980369061641,0.005898612514407084,"(3, 22.125, 7.72247919554983, 1.75, 15.875, 4.842815648671245)"
álbum de fotos,B1,0,76410,0.0,0.0,"(None, None, None, None, None, None)",0.0,76410,0.0,0.0,"(None, None, None, None, None, None)"
álgebra,B2,0,76410,0.0,0.0,"(None, None, None, None, None, None)",0.0,76410,0.0,0.0,"(None, None, None, None, None, None)"
ángulo,B2,1,76410,1.3087292239235702e-05,2.277061050703331e-05,"(7, 7, 7.0, 4, 4, 4.0)",778.6666666666666,76410,0.010190638223618199,0.006284320928830559,"(2.6666666666666665, 24, 7.630955825617284, 1.3333333333333333, 15.333333333333334, 4.602868602109053)"
ángulo recto,B2,0,76410,0.0,0.0,"(None, None, None, None, None, None)",0.0,76410,0.0,0.0,"(None, None, None, None, None, None)"
árbitro,B1,0,76410,0.0,0.0,"(None, None, None, None, None, None)",0.0,76410,0.0,0.0,"(None, None, None, None, None, None)"
árbol,A1,23,76410,0.0003010077215024212,0.0006682593494634459,"(4, 16, 8.521739130434783, 3, 16, 5.173913043478261)",367.55102040816325,76410,0.004810247616910918,0.0029309409696639727,"(3.2448979591836733, 19.163265306122447, 7.750568966682758, 1.8775510204081634, 11.46938775510204, 4.417108749218691)"
árbol frutal,B1,0,76410,0.0,0.0,"(None, None, None, None, None, None)",0.0,76410,0.0,0.0,"(None, None, None, None, None, None)"
área,B2,0,76410,0.0,0.0,"(None, None, None, None, None, None)",0.0,76410,0.0,0.0,"(None, None, None, None, None, None)"
