Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
¿Cómo estás? ,A1-A2,Relaciones sociales,Saludos,"[['¿', 'cómo', 'estar', '?']]",1,336152,2.974844713105976e-06,6.188082586140922e-06,"(9, 9, 9.0, 4, 4, 4.0)","{'sentir', 'ante', 'yo', 'todo'}","[315, 97, 3092, 1412]",1229.0,336152,0.003656084152407244,0.0037686417316095157,"(2.25, 26, 8.817261193361155, 1.25, 38.25, 5.011100107041881)"
¿Qué hora es?,A1-A2,Fecha y hora,Hora,"[['¿', 'qué', 'hora', 'ser', '?']]",3,336152,8.924534139317928e-06,1.6572545260327866e-05,"(8, 22, 13.0, 3, 5, 4.0)","{'doce', '...', 'el', 'preguntar', 'pero'}","[14, 1129, 9755, 405, 1570]",2574.6,336152,0.0076590351983626456,0.0037735206940788663,"(2.2, 23.6, 8.563542592083536, 1.2, 25.4, 4.335933930473017)"
A cobro revertido,B2,Comunicación,Comunicación personal,"[['a', 'cobro', 'revertido']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,Alimentación,Alimentación nutritiva,"[['a', 'fuego', 'lento']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha']]",6,336152,1.7849068278635856e-05,2.593016959307577e-05,"(4, 15, 9.666666666666666, 4, 6, 5.0)","{'y', 'por', 'mirar', 'haber', 'el', 'su', 'escalera', 'continuar', 'uno', 'de', 'él', 'situado', 'fin', 'raskolnikoff', 'ser', 'a', 'calle', 'volver'}","[5618, 2372, 448, 3883, 9755, 2801, 140, 109, 4979, 8230, 8618, 11, 153, 889, 4367, 6316, 220, 394]",3294.6111111111113,336152,0.009800956445629094,0.004725407396748351,"(2, 27.055555555555557, 8.636681016715102, 1.1111111111111112, 31.833333333333332, 4.819526887915902)"
A la derecha,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha']]",6,336152,1.7849068278635856e-05,2.593016959307577e-05,"(4, 15, 9.666666666666666, 4, 6, 5.0)","{'y', 'por', 'mirar', 'haber', 'el', 'su', 'escalera', 'continuar', 'uno', 'de', 'él', 'situado', 'fin', 'raskolnikoff', 'ser', 'a', 'calle', 'volver'}","[5618, 2372, 448, 3883, 9755, 2801, 140, 109, 4979, 8230, 8618, 11, 153, 889, 4367, 6316, 220, 394]",3294.6111111111113,336152,0.009800956445629094,0.004725407396748351,"(2, 27.055555555555557, 8.636681016715102, 1.1111111111111112, 31.833333333333332, 4.819526887915902)"
A la derecha de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha', 'de']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha', 'de']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda']]",7,336152,2.082391299174183e-05,4.4125385398668256e-05,"(5, 14, 10.0, 2, 8, 5.285714285714286)","{'casa', 'de', 'él', 'través', 'estar', 'pero', 'advertir', 'otro', 'ofrecer', 'arriba', 'totalmente', 'entrada', 'el', 'romper', 'a', 'y', 'derecho', 'mano', 'raskolnikoff', 'ocupado', 'derecha'}","[711, 8230, 8618, 26, 1709, 1570, 133, 765, 57, 28, 7, 34, 9755, 48, 6316, 5618, 93, 299, 889, 14, 28]",2140.3809523809523,336152,0.006367300960223209,0.0029126987265450316,"(2.9047619047619047, 24.38095238095238, 8.959304076098988, 1.5714285714285714, 25.952380952380953, 5.088151422965843)"
A la izquierda,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda']]",7,336152,2.082391299174183e-05,4.4125385398668256e-05,"(5, 14, 10.0, 2, 8, 5.285714285714286)","{'casa', 'de', 'él', 'través', 'estar', 'pero', 'advertir', 'otro', 'ofrecer', 'arriba', 'totalmente', 'entrada', 'el', 'romper', 'a', 'y', 'derecho', 'mano', 'raskolnikoff', 'ocupado', 'derecha'}","[711, 8230, 8618, 26, 1709, 1570, 133, 765, 57, 28, 7, 34, 9755, 48, 6316, 5618, 93, 299, 889, 14, 28]",2140.3809523809523,336152,0.006367300960223209,0.0029126987265450316,"(2.9047619047619047, 24.38095238095238, 8.959304076098988, 1.5714285714285714, 25.952380952380953, 5.088151422965843)"
A la izquierda de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda', 'de']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda', 'de']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,Alimentación,En el restaurante,"[['a', 'el', 'plancha']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
A pie ,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,"[['a', 'pie']]",3,336152,8.924534139317928e-06,4.4591136764475654e-05,"(8, 18, 11.666666666666666, 4, 6, 4.666666666666667)","{'con', 'haber', 'el', 'que', 'sol', 'ir', 'ser', 'aunque', 'estación', 'porque', 'escapar', 'hasta', 'yo'}","[2536, 3883, 9755, 6294, 59, 1053, 4367, 215, 26, 411, 58, 390, 3092]",2472.230769230769,336152,0.007354502633424073,0.0042932207882783804,"(2.1538461538461537, 26.384615384615383, 9.003909308055913, 1.2307692307692308, 39.38461538461539, 5.011704839087257)"
A tiempo completo,A1-A2,Trabajo,Profesiones,"[['a', 'tiempo', 'completo']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo parcial,A1-A2,Trabajo,Profesiones,"[['a', 'tiempo', 'parcial']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
