Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
¿Cómo estás? ,A1-A2,Relaciones sociales,Saludos,"[['¿', 'cómo', 'estar', '?']]",0,31956,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,31956,0.0,0.0,"(None, None, None, None, None, None)"
¿Qué hora es?,A1-A2,Fecha y hora,Hora,"[['¿', 'qué', 'hora', 'ser', '?']]",0,31956,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,31956,0.0,0.0,"(None, None, None, None, None, None)"
A cobro revertido,B2,Comunicación,Comunicación personal,"[['a', 'cobro', 'revertido']]",0,31956,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,31956,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,Alimentación,Alimentación nutritiva,"[['a', 'fuego', 'lento']]",0,31956,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,31956,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha']]",3,31956,9.38790837401427e-05,7.777370765778445e-05,"(6, 11, 8.666666666666666, 3, 5, 4.333333333333333)","{'lluís', 'companys', 'desconsol', 'en', 'donde', 'torcer', 'el', 'él', 'calle', 'que', 'fondo', 'de'}","[1, 1, 1, 425, 26, 2, 1009, 735, 17, 604, 7, 746]",297.8333333333333,31956,0.009320106813535277,0.003554179920900497,"(5, 18.166666666666668, 8.360212482884794, 2.75, 12, 4.957803688822191)"
A la derecha,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha']]",3,31956,9.38790837401427e-05,7.777370765778445e-05,"(6, 11, 8.666666666666666, 3, 5, 4.333333333333333)","{'lluís', 'companys', 'desconsol', 'en', 'donde', 'torcer', 'el', 'él', 'calle', 'que', 'fondo', 'de'}","[1, 1, 1, 425, 26, 2, 1009, 735, 17, 604, 7, 746]",297.8333333333333,31956,0.009320106813535277,0.003554179920900497,"(5, 18.166666666666668, 8.360212482884794, 2.75, 12, 4.957803688822191)"
A la derecha de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha', 'de']]",1,31956,3.1293027913380896e-05,1.9924612920703318e-05,"(9, 9, 9.0, 5, 5, 5.0)","{'desconsol', 'él', 'donde', 'que'}","[1, 735, 26, 604]",341.5,31956,0.010686569032419577,0.004644724608975652,"(4, 20.25, 7.909611919143613, 2.25, 14, 5.0897182051628596)"
A la derecha de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha', 'de']]",1,31956,3.1293027913380896e-05,1.9924612920703318e-05,"(9, 9, 9.0, 5, 5, 5.0)","{'desconsol', 'él', 'donde', 'que'}","[1, 735, 26, 604]",341.5,31956,0.010686569032419577,0.004644724608975652,"(4, 20.25, 7.909611919143613, 2.25, 14, 5.0897182051628596)"
A la izquierda,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda']]",0,31956,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,31956,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda']]",0,31956,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,31956,0.0,0.0,"(None, None, None, None, None, None)"
