Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
¿Cómo estás? ,A1-A2,Relaciones sociales,Saludos,"[['¿', 'cómo', 'estar', '?']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
¿Qué hora es?,A1-A2,Fecha y hora,Hora,"[['¿', 'qué', 'hora', 'ser', '?']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A cobro revertido,B2,Comunicación,Comunicación personal,"[['a', 'cobro', 'revertido']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,Alimentación,Alimentación nutritiva,"[['a', 'fuego', 'lento']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha', 'de']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha', 'de']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda', 'de']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda', 'de']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,Alimentación,En el restaurante,"[['a', 'el', 'plancha']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A pie ,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,"[['a', 'pie']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo completo,A1-A2,Trabajo,Profesiones,"[['a', 'tiempo', 'completo']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo parcial,A1-A2,Trabajo,Profesiones,"[['a', 'tiempo', 'parcial']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
