Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
¿Cómo estás? ,A1-A2,Relaciones sociales,Saludos,"[['¿', 'cómo', 'estar', '?']]",2,35991,5.556944791753494e-05,0.0006117673107062545,"(3, 5, 4.0, 1, 2, 1.5)","{'día', 'buenos'}","[86, 15]",50.5,35991,0.0014031285599177571,0.0024330490944664642,"(3, 14.5, 5.33953488372093, 1, 5.5, 2.7193798449612405)"
¿Qué hora es?,A1-A2,Fecha y hora,Hora,"[['¿', 'qué', 'hora', 'ser', '?']]",1,35991,2.778472395876747e-05,0.00021116138775734017,"(5, 5, 5.0, 1, 1, 1.0)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
A cobro revertido,B2,Comunicación,Comunicación personal,"[['a', 'cobro', 'revertido']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,Alimentación,Alimentación nutritiva,"[['a', 'fuego', 'lento']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha']]",8,35991,0.00022227779167013976,0.00024426312574217117,"(4, 8, 6.125, 2, 6, 3.75)","{'cuadro', 'otro', 'primero', 'él', 'corto', 'pasillo', 'de', 'estar', 'sentado', 'puerta', 'uno', 'a', 'alec', 'leer', 'el', 'abajo', 'calle', 'estudiante', 'piso', 'y', 'habitación', 'haber'}","[43, 97, 40, 784, 6, 14, 914, 389, 10, 46, 684, 669, 10, 39, 1407, 6, 74, 5, 14, 767, 28, 331]",289.8636363636364,35991,0.008053781122048189,0.005058663726343761,"(2.409090909090909, 14.818181818181818, 5.753554357991194, 1.4545454545454546, 7.7727272727272725, 3.5012526219687166)"
A la derecha,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha']]",8,35991,0.00022227779167013976,0.00024426312574217117,"(4, 8, 6.125, 2, 6, 3.75)","{'cuadro', 'otro', 'primero', 'él', 'corto', 'pasillo', 'de', 'estar', 'sentado', 'puerta', 'uno', 'a', 'alec', 'leer', 'el', 'abajo', 'calle', 'estudiante', 'piso', 'y', 'habitación', 'haber'}","[43, 97, 40, 784, 6, 14, 914, 389, 10, 46, 684, 669, 10, 39, 1407, 6, 74, 5, 14, 767, 28, 331]",289.8636363636364,35991,0.008053781122048189,0.005058663726343761,"(2.409090909090909, 14.818181818181818, 5.753554357991194, 1.4545454545454546, 7.7727272727272725, 3.5012526219687166)"
A la derecha de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha', 'de']]",2,35991,5.556944791753494e-05,6.379319894863616e-05,"(7, 8, 7.5, 4, 6, 5.0)","{'sentado', 'piso', 'alec', 'primero', 'puerta', 'el', 'estudiante', 'de'}","[10, 14, 10, 40, 46, 1407, 5, 914]",305.75,35991,0.008495179350393154,0.003871440469586308,"(2.625, 13.25, 5.759455009126054, 1.5, 7.25, 3.653234841522507)"
A la derecha de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha', 'de']]",2,35991,5.556944791753494e-05,6.379319894863616e-05,"(7, 8, 7.5, 4, 6, 5.0)","{'sentado', 'piso', 'alec', 'primero', 'puerta', 'el', 'estudiante', 'de'}","[10, 14, 10, 40, 46, 1407, 5, 914]",305.75,35991,0.008495179350393154,0.003871440469586308,"(2.625, 13.25, 5.759455009126054, 1.5, 7.25, 3.653234841522507)"
A la izquierda,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda']]",3,35991,8.33541718763024e-05,0.00020466478889735593,"(3, 4, 3.6666666666666665, 2, 4, 3.0)","{'poder', 'derecha', 'ver', 'otro', 'y', 'puerta', 'uno', 'haber'}","[120, 15, 112, 97, 767, 46, 684, 331]",271.5,35991,0.007543552554805368,0.005832420279839849,"(2.25, 16.125, 5.953797629969467, 1.375, 8.125, 3.514007175408493)"
A la izquierda,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda']]",3,35991,8.33541718763024e-05,0.00020466478889735593,"(3, 4, 3.6666666666666665, 2, 4, 3.0)","{'poder', 'derecha', 'ver', 'otro', 'y', 'puerta', 'uno', 'haber'}","[120, 15, 112, 97, 767, 46, 684, 331]",271.5,35991,0.007543552554805368,0.005832420279839849,"(2.25, 16.125, 5.953797629969467, 1.375, 8.125, 3.514007175408493)"
A la izquierda de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda', 'de']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda', 'de']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,Alimentación,En el restaurante,"[['a', 'el', 'plancha']]",1,35991,2.778472395876747e-05,0.00010287803929750024,"(5, 5, 5.0, 4, 4, 4.0)","{'decir', 'pollo', 'ensalada', 'garcía', 'y'}","[266, 6, 2, 11, 767]",210.4,35991,0.005845905920924675,0.0038596412278669215,"(3, 11.8, 5.545194175435031, 1.8, 6.8, 3.4056673032587397)"
A pie ,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,"[['a', 'pie']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
