Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
¿Cómo estás? ,A1-A2,Relaciones sociales,Saludos,"[['¿', 'cómo', 'estar', '?']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
¿Qué hora es?,A1-A2,Fecha y hora,Hora,"[['¿', 'qué', 'hora', 'ser', '?']]",1,153184,6.528096929183204e-06,2.5443897920553893e-05,"(7, 7, 7.0, 2, 2, 2.0)","{'yo', 'preguntar'}","[2100, 278]",1189.0,153184,0.00776190724879883,0.005213761492935349,"(2, 24, 7.7674237752655015, 1, 12, 3.64429085303186)"
A cobro revertido,B2,Comunicación,Comunicación personal,"[['a', 'cobro', 'revertido']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,Alimentación,Alimentación nutritiva,"[['a', 'fuego', 'lento']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha']]",4,153184,2.6112387716732817e-05,1.1557391354147224e-05,"(5, 16, 10.25, 5, 7, 6.0)","{'uno', 'dejar', 'cajoncito', 'estar', 'central', 'calle', 'grande', 'pasillo', 'cuarto', 'quedar', 'park', 'el', 'lentamente', 'y', 'de', 'entreabierto', 'haber', 'como', 'que'}","[2469, 199, 1, 1043, 29, 64, 58, 42, 53, 207, 38, 5846, 12, 2875, 3833, 2, 1433, 448, 2758]",1126.842105263158,153184,0.007356134487042758,0.0036111362333379857,"(2.4210526315789473, 20.63157894736842, 7.266032188235139, 1.8421052631578947, 14.631578947368421, 4.675861390964856)"
A la derecha,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha']]",4,153184,2.6112387716732817e-05,1.1557391354147224e-05,"(5, 16, 10.25, 5, 7, 6.0)","{'uno', 'dejar', 'cajoncito', 'estar', 'central', 'calle', 'grande', 'pasillo', 'cuarto', 'quedar', 'park', 'el', 'lentamente', 'y', 'de', 'entreabierto', 'haber', 'como', 'que'}","[2469, 199, 1, 1043, 29, 64, 58, 42, 53, 207, 38, 5846, 12, 2875, 3833, 2, 1433, 448, 2758]",1126.842105263158,153184,0.007356134487042758,0.0036111362333379857,"(2.4210526315789473, 20.63157894736842, 7.266032188235139, 1.8421052631578947, 14.631578947368421, 4.675861390964856)"
A la derecha de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha', 'de']]",2,153184,1.3056193858366409e-05,5.556648372917136e-06,"(11, 16, 13.5, 5, 7, 6.0)","{'central', 'calle', 'y', 'grande', 'pasillo', 'que', 'haber', 'quedar', 'park', 'el'}","[29, 64, 2875, 58, 42, 2758, 1433, 207, 38, 5846]",1335.0,153184,0.008715009400459578,0.003728251034964612,"(1.9, 21.6, 7.425854838412966, 1.5, 15, 4.525978651649736)"
A la derecha de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha', 'de']]",2,153184,1.3056193858366409e-05,5.556648372917136e-06,"(11, 16, 13.5, 5, 7, 6.0)","{'central', 'calle', 'y', 'grande', 'pasillo', 'que', 'haber', 'quedar', 'park', 'el'}","[29, 64, 2875, 58, 42, 2758, 1433, 207, 38, 5846]",1335.0,153184,0.008715009400459578,0.003728251034964612,"(1.9, 21.6, 7.425854838412966, 1.5, 15, 4.525978651649736)"
A la izquierda,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda']]",1,153184,6.528096929183204e-06,3.288395321335405e-06,"(9, 9, 9.0, 10, 10, 10.0)","{'y', 'rojo', 'en', 'con', 'raya'}","[2875, 105, 1995, 1243, 7]",1245.0,153184,0.008127480676833089,0.004871081340546894,"(2.6, 23.6, 8.331328472989112, 1.4, 16.8, 4.855195295594964)"
A la izquierda,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda']]",1,153184,6.528096929183204e-06,3.288395321335405e-06,"(9, 9, 9.0, 10, 10, 10.0)","{'y', 'rojo', 'en', 'con', 'raya'}","[2875, 105, 1995, 1243, 7]",1245.0,153184,0.008127480676833089,0.004871081340546894,"(2.6, 23.6, 8.331328472989112, 1.4, 16.8, 4.855195295594964)"
A la izquierda de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda', 'de']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda', 'de']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,Alimentación,En el restaurante,"[['a', 'el', 'plancha']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
A pie ,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,"[['a', 'pie']]",1,153184,6.528096929183204e-06,5.4176101686270574e-05,"(7, 7, 7.0, 4, 4, 4.0)","{'pequeño', 'de', 'detrás', 'él', 'el', 'hans'}","[105, 3833, 46, 4243, 5846, 57]",2355.0,153184,0.015373668268226446,0.0049377369428344085,"(2.6666666666666665, 22.833333333333332, 7.499810206293329, 1.3333333333333333, 16.333333333333332, 4.340271361318766)"
A tiempo completo,A1-A2,Trabajo,Profesiones,"[['a', 'tiempo', 'completo']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo parcial,A1-A2,Trabajo,Profesiones,"[['a', 'tiempo', 'parcial']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Abdominales,B1,Salud y cuidados personales,El cuerpo humano y la salud,[['abdominal']],0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Abeja ,B1,Geografía y naturaleza,En el campo,[['abeja']],0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Abierto,A1-A2,Individuo y relaciones personales,Carácter,[['abierto']],47,153184,0.00030682055567161063,0.0005370578998958937,"(3, 18, 7.574468085106383, 2, 7, 4.297872340425532)","{'poco', 'campo', 'uno', 'donde', 'mi', 'labio', 'dejar', 'con', 'cerrado', 'chevy', 'ventana', 'él', 'estar', 'slappy', 'armario', 'copa', 'conmocionado', 'dos', 'mucho', 'brecha', 'señor', 'botella', 'libro', 'para', 'poner', 'pierna', 'azul', 'cortina', 'boca', 'muñeco', 'plano', 'tanto', 'discusión', 'tener', 'portezuela', 'gas', 'su', 'el', 'y', 'de', 'mantener', 'navaja', 'par', 'ojo', 'brazo', 'algo', 'mirada', 'ahora', 'mesita', 'mano', 'puerta', 'champán', 'expresión', 'como', 'cara', 'lanzar', 'mirar', 'sino', 'muro', 'nadie', 'que', 'encontrar', 'claqueta', 'en', 'opaco', 'yo', 'pelo', 'por', 'a', 'siempre', 'chófer'}","[156, 7, 2469, 84, 634, 49, 199, 1243, 19, 1, 64, 4243, 1043, 238, 63, 6, 1, 206, 633, 2, 267, 46, 47, 624, 295, 50, 44, 14, 90, 289, 23, 318, 6, 845, 5, 4, 1060, 5846, 2875, 3833, 29, 14, 10, 250, 121, 134, 50, 179, 4, 356, 150, 6, 34, 448, 151, 57, 415, 20, 8, 97, 2758, 109, 4, 1995, 2, 2100, 194, 1016, 3047, 155, 12]",589.6619718309859,153184,0.0038493705075659723,0.0024205210134406224,"(2.887323943661972, 18.943661971830984, 7.443543654755523, 1.7183098591549295, 12.19718309859155, 4.3751015965053)"
Abogado,A1-A2,Trabajo,Profesiones,[['abogado']],1,153184,6.528096929183204e-06,8.640417360424316e-05,"(6, 6, 6.0, 4, 4, 4.0)","{'ansioso', 'de', 'habilidad', 'el', 'por'}","[6, 3833, 3, 5846, 1016]",2140.8,153184,0.013975349905995403,0.004609492070717072,"(3.2, 21, 7.4766256579617165, 1.8, 14.2, 4.3307226099530745)"
Abogado criminalista,B2,Justicia,Ley y orden,"[['abogado', 'criminalista']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Abogado defensor,B2,Justicia,Ley y orden,"[['abogado', 'defensor']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Abogado defensor ,B1,Justicia,En el juzgado,"[['abogado', 'defensor']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Abono orgánico,B2,Medioambiente,Problemas medioambientales,"[['abono', 'orgánico']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
