Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
¿Cómo estás? ,A1-A2,Relaciones sociales,Saludos,"[['¿', 'cómo', 'estar', '?']]",0,203492,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,203492,0.0,0.0,"(None, None, None, None, None, None)"
¿Qué hora es?,A1-A2,Fecha y hora,Hora,"[['¿', 'qué', 'hora', 'ser', '?']]",0,203492,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,203492,0.0,0.0,"(None, None, None, None, None, None)"
A cobro revertido,B2,Comunicación,Comunicación personal,"[['a', 'cobro', 'revertido']]",0,203492,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,203492,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,Alimentación,Alimentación nutritiva,"[['a', 'fuego', 'lento']]",0,203492,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,203492,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha']]",3,203492,1.4742594303461561e-05,6.732447849962367e-05,"(7, 10, 8.0, 3, 7, 5.333333333333333)","{'gubernamental', 'haber', 'que', 'mahdavika', 'cardoso', 'paragubernamental', 'él', 'arriba', 'a', 'detrás', 'entrar', 'yo'}","[10, 1386, 3473, 1, 2, 1, 2860, 13, 3066, 10, 50, 351]",935.25,203492,0.0045960037741041414,0.0019605208045906258,"(4.416666666666667, 23.083333333333332, 10.326456964834405, 2.9166666666666665, 14.083333333333334, 6.1960105509564345)"
A la derecha,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha']]",3,203492,1.4742594303461561e-05,6.732447849962367e-05,"(7, 10, 8.0, 3, 7, 5.333333333333333)","{'gubernamental', 'haber', 'que', 'mahdavika', 'cardoso', 'paragubernamental', 'él', 'arriba', 'a', 'detrás', 'entrar', 'yo'}","[10, 1386, 3473, 1, 2, 1, 2860, 13, 3066, 10, 50, 351]",935.25,203492,0.0045960037741041414,0.0019605208045906258,"(4.416666666666667, 23.083333333333332, 10.326456964834405, 2.9166666666666665, 14.083333333333334, 6.1960105509564345)"
A la derecha de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha', 'de']]",0,203492,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,203492,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha', 'de']]",0,203492,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,203492,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda']]",1,203492,4.9141981011538535e-06,2.5486503289638802e-05,"(7, 7, 7.0, 6, 6, 6.0)","{'y', 'barbarez', 'yeboah'}","[3136, 1, 2]",1046.3333333333333,203492,0.005141889279840649,0.001619884053528098,"(5.333333333333333, 24.666666666666668, 8.910820578231293, 4.333333333333333, 12.333333333333334, 6.2772108843537415)"
A la izquierda,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda']]",1,203492,4.9141981011538535e-06,2.5486503289638802e-05,"(7, 7, 7.0, 6, 6, 6.0)","{'y', 'barbarez', 'yeboah'}","[3136, 1, 2]",1046.3333333333333,203492,0.005141889279840649,0.001619884053528098,"(5.333333333333333, 24.666666666666668, 8.910820578231293, 4.333333333333333, 12.333333333333334, 6.2772108843537415)"
