litera_3,litera_1,litera_2
"('haber', 0.5158354411141526)","('príncipe', 0.2880761206327816)","('ser', 0.3561192353247324)"
"('ser', 0.4459529191016632)","('bosque', 0.24753744523773408)","('cohete', 0.3510947474048071)"
"('decir', 0.25875207448511234)","('lobo', 0.24014968771800344)","('molinero', 0.3430157787076633)"
"('nasar', 0.23520955221064493)","('niña', 0.2035441432604347)","('rosa', 0.32973469894588714)"
"('vigilante', 0.1898022387583895)","('bruja', 0.19864947060635693)","('ruiseñor', 0.308217027675011)"
"('cierto', 0.17888499387770718)","('soldadito', 0.19432950212230168)","('decir', 0.2865082257640369)"
"('tiempo', 0.1759971306556483)","('clancanieves', 0.1685021043991792)","('rojo', 0.22076465409126017)"
"('supervisor', 0.1725474897803541)","('fábrica', 0.162486439924162)","('tener', 0.21319617252101072)"
"('páramo', 0.1713607093528306)","('princesa', 0.14990514285680812)","('loco', 0.20564717136214228)"
"('san', 0.16086232327837635)","('ogro', 0.14780623120664074)","('pelo', 0.2005278831919217)"
"('hombre', 0.15952457560654695)","('volar', 0.14695446165885256)","('mano', 0.20052338804226932)"
"('tal', 0.15498480574287793)","('corneja', 0.1425193819930915)","('estatua', 0.19912336001908898)"
"('don', 0.1538420427562449)","('día', 0.14092862153997318)","('muñeco', 0.17779898929088947)"
"('alguno', 0.1486540723529765)","('ricito', 0.125146208623656)","('padre', 0.17760046230881826)"
"('estudiante', 0.1485373034243449)","('madrastra', 0.12445718127568361)","('carretilla', 0.1687215754243956)"
"('portero', 0.1449342417762353)","('palacio', 0.1210022893316262)","('haber', 0.16630411100713452)"
"('román', 0.13440545840608278)","('balleno', 0.12044793550710127)","('nieve', 0.13933945427560787)"
"('bayardo', 0.12880523097249602)","('niño', 0.11932659484062827)","('gritar', 0.13716281113764994)"
"('sólo', 0.12641926604610362)","('barco', 0.11632531480867773)","('espino', 0.1295003736639517)"
"('fué', 0.12354744818736924)","('mar', 0.11095295244480327)","('rubí', 0.12489013946361234)"
"('vez', 0.12319576132925351)","('nuevo', 0.1093287351453699)","('replicar', 0.12083997203713816)"
"('madre', 0.12178434285898528)","('castillo', 0.10717891759731607)","('sristino', 0.11646249673444836)"
"('posibilidad', 0.12045464765553594)","('oveja', 0.09940204466176238)","('cabeza', 0.11576315429203603)"
"('sino', 0.11929529183734523)","('cabrito', 0.09761596651224917)","('rosal', 0.11551680844298218)"
"('obispo', 0.11760477610532247)","('cisne', 0.09579007378480785)","('realmente', 0.10897129307314167)"
"('clase', 0.11601224754735362)","('hada', 0.09511774191637494)","('nunca', 0.10890812673503983)"
"('drama', 0.11389839112704717)","('invento', 0.09501207037208549)","('pardillo', 0.1065609950048814)"
"('tomar', 0.11371281188223042)","('enanito', 0.09311958401007273)","('feliz', 0.10521441270327563)"
"('pueblo', 0.1127481061238465)","('abuela', 0.09127288258293488)","('ojo', 0.10406910023968549)"
"('patio', 0.11157821597652977)","('cazador', 0.09103548929423858)","('corazón', 0.10175936634412046)"
"('después', 0.10859541035015845)","('cada', 0.09086548279583259)","('voló', 0.10105230731316765)"
"('aquel', 0.10829543670739995)","('madera', 0.08970870817103156)","('exclamar', 0.09765581418355351)"
"('si', 0.1054874956176568)","('pasaron', 0.0885644962078712)","('verdad', 0.09648807240817256)"
"('embargo', 0.10525864006910347)","('aprender', 0.0882632685955442)","('nota', 0.09583811853370829)"
"('oficina', 0.10284436465202858)","('cole', 0.08609554253309813)","('río', 0.09452432300814041)"
"('familia', 0.10228921265774764)","('coronavir', 0.08609554253309813)","('caer', 0.09320992934420924)"
"('escena', 0.10164086700291572)","('espantapájaro', 0.08574189134665455)","('señora', 0.0921618105517592)"
"('dos', 0.10112622490640233)","('carabás', 0.08512293232873852)","('gran', 0.09074041540036895)"
"('año', 0.09987273251055918)","('cuento', 0.0839137118058433)","('estudiante', 0.09070874954248885)"
"('parecer', 0.09817552729181717)","('ayudar', 0.08147957151671954)","('rata', 0.09005435837723098)"
"('matar', 0.09782325599661991)","('buscar', 0.0808280134706299)","('pálido', 0.08998913076956083)"
"('modo', 0.09731794640091088)","('querido', 0.07954203066432339)","('jardín', 0.08996252409016448)"
"('estudiar', 0.09657075532594231)","('comer', 0.07817482953671945)","('candela', 0.08777368685120178)"
"('sentir', 0.0955238138057303)","('rey', 0.07743859331543719)","('saber', 0.08756806707546369)"
"('enfermera', 0.09542685938340711)","('convertir', 0.0769204335755035)","('ciudad', 0.0853230883094215)"
"('mismo', 0.09466124607489544)","('comenzar', 0.07636475433151388)","('bien', 0.0845044986764856)"
"('mes', 0.09462568264622216)","('entrenar', 0.07625875896061356)","('locura', 0.0837332456265981)"
"('acto', 0.09333238587537579)","('animal', 0.07624330018924055)","('tarta', 0.08349398287801117)"
"('calle', 0.09332107563352397)","('carlito', 0.07355839070611174)","('llevar', 0.08340675998481265)"
"('pensar', 0.09121380385845372)","('nin', 0.07208484407648175)","('rostro', 0.08231968415760765)"
