Lexical item,Level,Avanzado,Inicial,Intermedio,Adulta,Infantil,Juvenil,Native
A cobro revertido,B2,0,0,0,0,0,0,0
A fuego lento,B2,0,0,0,1,0,0,0
A la derecha,A1-A2,3,9,4,0,0,2,3
A la derecha de,A1-A2,1,2,0,0,0,2,0
A la izquierda,A1-A2,0,3,4,1,0,1,1
A la izquierda de,A1-A2,0,0,0,0,0,0,0
A la plancha,A1-A2,0,0,0,0,0,0,0
A pie,A1-A2,12,0,1,2,0,1,1
A tiempo completo,A1-A2,0,0,0,0,0,0,2
A tiempo parcial,A1-A2,0,0,0,0,0,0,3
ADSL,B2,0,0,0,0,0,0,0
Abdominales,B1,0,0,0,0,0,0,0
Abeja,B1,0,0,0,2,0,0,0
Abierto,A1-A2,4,16,17,19,17,19,44
Abogado,A1-A2,1,6,5,1,0,1,12
Abogado criminalista,B2,0,0,0,0,0,0,0
Abogado defensor,B2,1,0,0,0,0,0,0
Abono orgánico,B2,0,0,0,0,0,0,0
Abrigo,A1-A2,1,0,5,1,8,16,3
Abril,A1-A2,1,3,4,0,0,0,21
Abrir una cuenta,B1,0,0,0,0,0,0,0
Abrochar,A1-A2,0,0,0,0,0,0,0
Abrocharse,A1-A2,0,0,0,0,0,0,0
Abrocharse el cinturón,A1-A2,0,0,0,0,0,0,0
Abstracto,B2,0,0,0,0,0,0,0
Abuelo,A1-A2,2,11,14,4,2,9,2
Abundancia,B2,1,0,2,1,0,1,1
Abundancia de,B2,0,0,0,0,0,0,0
Aburrido,B1,0,2,1,2,2,2,2
Aburrimiento,B1,0,0,0,0,0,3,2
Aburrirse,B1,0,0,0,0,0,0,0
Academia,A1-A2,0,0,0,1,0,0,1
Acceder,B1,0,0,0,1,1,0,6
Accidente de tráfico,B1,0,0,0,0,0,0,1
Acciones,B2,0,2,2,8,2,2,52
Accionista,B2,0,0,0,0,0,0,11
Aceite,A1-A2,2,1,4,2,7,0,5
Aceite de oliva,B1,0,0,0,0,0,0,2
Aceite vegetal,B1,0,0,0,0,0,0,0
Aceitera,A1-A2,0,0,0,0,0,0,0
Aceituna,B1,0,2,0,0,0,0,1
Aceitunas,A1-A2,0,2,0,0,0,0,1
Acelerar,B1,0,1,1,2,0,1,3
Acera,A1-A2,2,3,1,7,0,6,4
Acertar,B2,3,0,0,0,0,0,4
Acierto,B2,0,0,0,0,0,0,2
Acorde con sus capacidades,B2,0,0,0,0,0,0,0
Acostarse,A1-A2,0,0,0,0,0,0,0
Actitud,B2,1,0,1,4,2,1,27
Actividad,A1-A2,1,1,2,0,1,0,40
Acto,B2,2,0,3,12,4,3,30
Actor,B2,1,1,1,1,0,0,14
Actriz,B2,2,7,1,0,0,2,0
Acuarela,B2,0,0,0,0,0,12,0
Acuario,B1,0,0,0,0,0,0,0
Acusado,B1,1,0,0,4,0,0,18
Acusar,B2,3,1,0,1,0,2,23
Acuse de recibo,B2,0,0,0,0,0,0,0
Acuíferos,B2,0,0,0,0,0,0,0
