Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
A cobro revertido,B2,0,74553,0.0,0.0,"(None, None, None, None, None, None)",0.0,74553,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,1,74553,1.3413276461041138e-05,2.2190125874716035e-05,"(9, 9, 9.0, 6, 6, 6.0)",560.2,74553,0.007514117473475246,0.002217228778778943,"(5.6, 18.6, 8.737337687973298, 3.8, 13.4, 5.6882379260429)"
A la derecha,A1-A2,0,74553,0.0,0.0,"(None, None, None, None, None, None)",0.0,74553,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha de,A1-A2,0,74553,0.0,0.0,"(None, None, None, None, None, None)",0.0,74553,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda,A1-A2,1,74553,1.3413276461041138e-05,1.9690024803291192e-05,"(10, 10, 10.0, 6, 6, 6.0)",415.75,74553,0.005576569688677853,0.003083543002867129,"(4, 29, 9.52587373886017, 2.25, 15.5, 5.28736686338962)"
A la izquierda de,A1-A2,0,74553,0.0,0.0,"(None, None, None, None, None, None)",0.0,74553,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,0,74553,0.0,0.0,"(None, None, None, None, None, None)",0.0,74553,0.0,0.0,"(None, None, None, None, None, None)"
A pie,A1-A2,2,74553,2.6826552922082276e-05,0.00012616080537184397,"(3, 16, 9.5, 2, 7, 4.5)",725.5,74553,0.009731332072485346,0.003179968993263276,"(4.166666666666667, 25.833333333333332, 9.59428178692656, 2.1666666666666665, 19.5, 5.61743925840646)"
A tiempo completo,A1-A2,0,74553,0.0,0.0,"(None, None, None, None, None, None)",0.0,74553,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo parcial,A1-A2,0,74553,0.0,0.0,"(None, None, None, None, None, None)",0.0,74553,0.0,0.0,"(None, None, None, None, None, None)"
ADSL,B2,0,74553,0.0,0.0,"(None, None, None, None, None, None)",0.0,74553,0.0,0.0,"(None, None, None, None, None, None)"
Abdominales,B1,0,74553,0.0,0.0,"(None, None, None, None, None, None)",0.0,74553,0.0,0.0,"(None, None, None, None, None, None)"
Abeja,B1,2,74553,2.6826552922082276e-05,0.00015004676678669876,"(6, 9, 7.5, 3, 5, 4.0)",740.8571428571429,74553,0.009937321675279907,0.0028797488988128875,"(3.7142857142857144, 24.857142857142858, 8.188878419998836, 2.142857142857143, 13.714285714285714, 4.654959132356153)"
Abierto,A1-A2,16,74553,0.0002146124233766582,0.00031053579548711386,"(6, 13, 8.875, 2, 9, 5.5)",297.7708333333333,74553,0.003994082509534604,0.0020298784265968877,"(4.104166666666667, 23.1875, 9.53761124939658, 2.4583333333333335, 14.083333333333334, 5.488779550739916)"
Abogado,A1-A2,1,74553,1.3413276461041138e-05,4.209671707088924e-05,"(11, 11, 11.0, 3, 3, 3.0)",427.75,74553,0.005737529006210346,0.003178769834052367,"(2, 31.5, 8.896220352693476, 1.25, 15.75, 5.061007901215666)"
