Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
A cobro revertido,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,3,73606,4.0757546939108224e-05,6.248522894684837e-05,"(6, 15, 10.0, 3, 5, 4.333333333333333)",645.5,73606,0.00876966551639812,0.0032605070032249712,"(5.666666666666667, 23.083333333333332, 10.080943652011557, 2.75, 12, 5.3278011627596005)"
A la derecha de,A1-A2,1,73606,1.3585848979702741e-05,1.8740489328323595e-05,"(9, 9, 9.0, 5, 5, 5.0)",797.75,73606,0.010838111023557863,0.004355730250793499,"(4, 26.5, 9.390269907163358, 2.25, 14, 5.665997852171746)"
A la izquierda,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda de,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
A pie,A1-A2,12,73606,0.0001630301877564329,7.927033994160628e-05,"(5, 20, 12.166666666666666, 3, 11, 6.833333333333333)",412.2105263157895,73606,0.0056002299583700985,0.002975830335808695,"(3.3947368421052633, 27.92105263157895, 10.176912248390638, 1.868421052631579, 14.631578947368421, 5.771738738513173)"
A tiempo completo,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo parcial,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
ADSL,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Abdominales,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Abeja,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Abierto,A1-A2,4,73606,5.4343395918810965e-05,2.2478210910036798e-05,"(8, 19, 14.25, 10, 12, 11.25)",612.5,73606,0.008321332500067929,0.003887140780154929,"(2.7857142857142856, 29.928571428571427, 9.928793393657172, 1.5714285714285714, 15.285714285714286, 5.872031644440878)"
Abogado,A1-A2,1,73606,1.3585848979702741e-05,3.331642547257528e-05,"(6, 6, 6.0, 3, 3, 3.0)",561.8333333333334,73606,0.0076329828184296565,0.003855857187215597,"(2.6666666666666665, 26.333333333333332, 8.958454431770301, 1.3333333333333333, 13.5, 5.1909842890857485)"
Abogado criminalista,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Abogado defensor,B2,1,73606,1.3585848979702741e-05,3.5276215206256176e-05,"(6, 6, 6.0, 3, 3, 3.0)",702.8333333333334,73606,0.009548587524567742,0.005165003906087914,"(2, 31, 9.41595148017644, 1, 15.833333333333334, 5.5831527267087315)"
Abono orgánico,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Abrigo,A1-A2,1,73606,1.3585848979702741e-05,4.954954799294434e-05,"(6, 6, 6.0, 3, 3, 3.0)",911.0,73606,0.012376708420509197,0.005378185829277242,"(2.8, 28.4, 8.38504312847184, 1.4, 13.6, 4.703216389261888)"
Abril,A1-A2,1,73606,1.3585848979702741e-05,3.978087931945904e-05,"(6, 6, 6.0, 4, 4, 4.0)",911.0,73606,0.012376708420509199,0.003388639947451487,"(4, 20.25, 7.549068491032777, 2.25, 10.5, 4.533638850797236)"
Abrir una cuenta,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Abrochar,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Abrocharse,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Abrocharse el cinturón,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
