Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
A cobro revertido,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha de,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda de,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
A pie,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo completo,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo parcial,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
ADSL,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abdominales,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abeja,B1,1,76018,1.3154779131258386e-05,8.146163187198293e-06,"(8, 8, 8.0, 4, 4, 4.0)",735.0,76018,0.009668762661474914,0.007250605968400521,"(1, 30, 8.172789115646259, 1, 26, 4.247619047619048)"
Abierto,A1-A2,16,76018,0.00021047646610013418,0.0004322521473003178,"(4, 15, 9.625, 2, 9, 5.3125)",410.825,76018,0.005404312136599226,0.0031666286318934745,"(3.225, 22.75, 8.694820721332475, 1.9, 16.15, 5.01329917738312)"
Abogado,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abogado criminalista,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abogado defensor,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abono orgánico,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abrigo,A1-A2,8,76018,0.00010523823305006709,0.00013888260140114094,"(5, 15, 10.5, 2, 7, 5.0)",563.4782608695652,76018,0.007412432067004726,0.0032617787858711814,"(3.4782608695652173, 20.91304347826087, 8.297690025025773, 1.9565217391304348, 15, 4.783654669912057)"
Abril,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abrir una cuenta,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abrochar,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abrocharse,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abrocharse el cinturón,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abstracto,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abuelo,A1-A2,2,76018,2.6309558262516772e-05,8.831679021178064e-05,"(5, 14, 9.5, 4, 4, 4.0)",983.3333333333334,76018,0.01293553281240408,0.004856518938549733,"(3.111111111111111, 23.666666666666668, 8.160193622538397, 1.5555555555555556, 18.22222222222222, 4.602432837736091)"
Abundancia,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Abundancia de,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Aburrido,B1,3,76018,3.946433739377516e-05,5.8716662479810144e-05,"(6, 9, 7.666666666666667, 3, 7, 5.666666666666667)",790.125,76018,0.010393919861085532,0.005015377034900072,"(2.375, 26.75, 8.109672766837626, 1.375, 20.875, 4.7596897269601195)"
Aburrimiento,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Aburrirse,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Academia,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acceder,B1,1,76018,1.3154779131258386e-05,8.72649757146159e-05,"(4, 4, 4.0, 3, 3, 3.0)",1226.0,76018,0.016127759214922783,0.006692161204283788,"(2.3333333333333335, 27.333333333333332, 8.493756991481131, 1.3333333333333333, 22, 4.690009540616324)"
Accidente de tráfico,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acciones,B2,2,76018,2.6309558262516772e-05,1.9316240791664395e-05,"(10, 15, 12.5, 4, 6, 5.0)",898.7777777777778,76018,0.011823223154749898,0.00439897095981709,"(2.888888888888889, 23, 8.06806064766477, 1.2222222222222223, 17.77777777777778, 4.7122961270708785)"
Accionista,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Aceite,A1-A2,7,76018,9.20834539188087e-05,0.00013325610189835838,"(4, 19, 9.714285714285714, 3, 7, 5.428571428571429)",567.9047619047619,76018,0.007470661710447024,0.0036481341612934802,"(4.095238095238095, 22.285714285714285, 9.11337730993875, 2.1904761904761907, 15.80952380952381, 4.89858876918833)"
Aceite de oliva,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Aceite vegetal,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Aceitera,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Aceituna,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Aceitunas,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acelerar,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acera,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acertar,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acierto,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acorde con sus capacidades,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acostarse,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Actitud,B2,2,76018,2.6309558262516772e-05,1.1432638411615756e-05,"(10, 30, 20.0, 5, 26, 15.5)",603.5454545454545,76018,0.007939507150220402,0.0036346567061377325,"(8.181818181818182, 25.272727272727273, 12.42512989117852, 6, 19.545454545454547, 8.656909150686138)"
Actividad,A1-A2,1,76018,1.3154779131258386e-05,5.952965406029523e-06,"(6, 6, 6.0, 8, 8, 8.0)",1220.8,76018,0.016059354363440238,0.005796593935269977,"(2.4, 25, 8.104648096553412, 1.4, 20, 4.7591718252965)"
Acto,B2,4,76018,5.2619116525033545e-05,7.351484974551991e-05,"(5, 11, 8.5, 3, 6, 4.5)",949.9230769230769,76018,0.012496028268608447,0.0052253447264083664,"(3.230769230769231, 24.615384615384617, 8.409879226205344, 1.8461538461538463, 18.923076923076923, 4.692498750985907)"
Actor,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Actriz,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acuarela,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acuario,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acusado,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acusar,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acuse de recibo,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Acuíferos,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Adelgazar,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Aditivos,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Adiós,A1-A2,10,76018,0.00013154779131258385,0.00020437953541853007,"(3, 10, 5.9, 1, 6, 3.3)",541.0,76018,0.007116735510010787,0.00304813704612248,"(3.0454545454545454, 20.40909090909091, 8.039311938662072, 1.5, 14.318181818181818, 4.515632077228761)"
Adjuntar,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Administrativo,A1-A2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Admiración,B2,4,76018,5.2619116525033545e-05,6.780396587360813e-05,"(4, 13, 6.75, 3, 5, 4.25)",569.3076923076923,76018,0.007489116950034101,0.0029849913555886507,"(3.076923076923077, 22.692307692307693, 8.196073487468732, 2.076923076923077, 17.307692307692307, 5.00443793246405)"
Adolescencia,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Adolescente,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Adoptado,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Adoptar,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Adorar,B2,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
Adquirir experiencia,B1,0,76018,0.0,0.0,"(None, None, None, None, None, None)",0.0,76018,0.0,0.0,"(None, None, None, None, None, None)"
