Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
A cobro revertido,B2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,9,74701,0.00012048031485522282,0.00020528853858505137,"(4, 8, 6.0, 2, 6, 3.6666666666666665)",524.48,74701,0.007021057281696363,0.004416187219513252,"(2.56, 15.36, 6.076765866732215, 1.44, 8.96, 3.57490256947278)"
A la derecha de,A1-A2,2,74701,2.6773403301160628e-05,5.2348856477366264e-05,"(7, 8, 7.5, 4, 6, 5.0)",629.75,74701,0.008430275364452953,0.003764296345563138,"(2.625, 15.125, 6.278749224347157, 1.5, 8.875, 3.7119638744185157)"
A la izquierda,A1-A2,3,74701,4.0160104951740944e-05,0.00015903187932665691,"(3, 4, 3.6666666666666665, 2, 4, 3.0)",533.375,74701,0.0071401319928782745,0.005807844063999011,"(2.125, 16.875, 6.090978404594582, 1.25, 9.375, 3.5443100670978986)"
A la izquierda de,A1-A2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,1,74701,1.3386701650580314e-05,7.791699165706803e-05,"(5, 5, 5.0, 4, 4, 4.0)",423.8,74701,0.005673284159515937,0.003834113742726237,"(2.4, 13.8, 6.034118340481654, 1.6, 9, 3.4968460618656136)"
A pie,A1-A2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo completo,A1-A2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo parcial,A1-A2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
ADSL,B2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abdominales,B1,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abeja,B1,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abierto,A1-A2,16,74701,0.00021418722640928503,0.00042021425093033003,"(2, 10, 6.125, 2, 7, 3.625)",390.0,74701,0.005220813643726323,0.004150735765016837,"(2.081081081081081, 16.81081081081081, 6.056953829784142, 1.3243243243243243, 9.216216216216216, 3.5055562193987524)"
Abogado,A1-A2,6,74701,8.032020990348189e-05,0.00011891796630169442,"(2, 7, 5.0, 2, 4, 2.6666666666666665)",539.25,74701,0.007218778865075434,0.005306330324050759,"(2.15, 16.75, 5.861534304173942, 1.25, 9.8, 3.24114950276779)"
Abogado criminalista,B2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abogado defensor,B2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abono orgánico,B2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abrigo,A1-A2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abril,A1-A2,3,74701,4.0160104951740944e-05,3.439740297994302e-05,"(12, 13, 12.333333333333334, 4, 11, 7.0)",749.0,74701,0.010026639536284656,0.004680996665761586,"(3.5, 15.75, 7.284057765117369, 2.625, 11.625, 5.017515044149151)"
Abrir una cuenta,B1,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abrochar,A1-A2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abrocharse,A1-A2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abrocharse el cinturón,A1-A2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abstracto,B2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abuelo,A1-A2,12,74701,0.00016064041980696378,0.00017249059021028274,"(2, 11, 5.75, 2, 5, 3.3333333333333335)",625.3333333333334,74701,0.008371150765496223,0.005518068240186747,"(2.125, 16.666666666666668, 6.071551860315971, 1.2916666666666667, 10.75, 3.560547731482115)"
Abundancia,B2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Abundancia de,B2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Aburrido,B1,3,74701,4.0160104951740944e-05,7.154217091886901e-05,"(4, 4, 4.0, 1, 5, 3.0)",258.375,74701,0.0034587890389686884,0.0034097190220746584,"(2.125, 12.875, 5.284118175139738, 1.5, 7.75, 3.0645306598502913)"
Aburrimiento,B1,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Aburrirse,B1,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Academia,A1-A2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Acceder,B1,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Accidente de tráfico,B1,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
Acciones,B2,2,74701,2.6773403301160628e-05,5.546031938027964e-05,"(3, 5, 4.0, 4, 7, 5.5)",1295.4,74701,0.017341133318161738,0.007941604701035512,"(2.8, 15.4, 5.480684015289696, 2.4, 11.6, 4.125848402072839)"
Accionista,B2,0,74701,0.0,0.0,"(None, None, None, None, None, None)",0.0,74701,0.0,0.0,"(None, None, None, None, None, None)"
