Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
A cobro revertido,B2,0,76637,0.0,0.0,"(None, None, None, None, None, None)",0.0,76637,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,0,76637,0.0,0.0,"(None, None, None, None, None, None)",0.0,76637,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,4,76637,5.2194109894698385e-05,0.00018713582938593081,"(3, 16, 9.0, 2, 6, 4.25)",545.5882352941177,76637,0.007119123077548934,0.0037348093003890556,"(3.8823529411764706, 20.470588235294116, 8.487105407381222, 1.8823529411764706, 13.117647058823529, 4.61479910119449)"
A la derecha de,A1-A2,0,76637,0.0,0.0,"(None, None, None, None, None, None)",0.0,76637,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda,A1-A2,4,76637,5.2194109894698385e-05,0.0003442712669251324,"(3, 16, 8.0, 2, 6, 3.25)",604.3333333333334,76637,0.007885660103257348,0.003267953318110701,"(2.6666666666666665, 19.833333333333332, 7.548781220076501, 1.4166666666666667, 11.75, 4.451953133766419)"
A la izquierda de,A1-A2,0,76637,0.0,0.0,"(None, None, None, None, None, None)",0.0,76637,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,1,76637,1.3048527473674596e-05,1.2521008873507905e-05,"(10, 10, 10.0, 5, 5, 5.0)",142.75,76637,0.0018626772968670484,0.0014749365282961384,"(6.5, 13.25, 8.72894581861013, 4, 7.25, 4.994257950530035)"
A pie,A1-A2,1,76637,1.3048527473674596e-05,0.00011551527694614883,"(3, 3, 3.0, 3, 3, 3.0)",1018.3333333333334,76637,0.013287750477358631,0.004816700984047854,"(2.3333333333333335, 23.333333333333332, 6.669207189718211, 1.3333333333333333, 12.333333333333334, 4.068821212494057)"
A tiempo completo,A1-A2,0,76637,0.0,0.0,"(None, None, None, None, None, None)",0.0,76637,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo parcial,A1-A2,0,76637,0.0,0.0,"(None, None, None, None, None, None)",0.0,76637,0.0,0.0,"(None, None, None, None, None, None)"
ADSL,B2,0,76637,0.0,0.0,"(None, None, None, None, None, None)",0.0,76637,0.0,0.0,"(None, None, None, None, None, None)"
Abdominales,B1,0,76637,0.0,0.0,"(None, None, None, None, None, None)",0.0,76637,0.0,0.0,"(None, None, None, None, None, None)"
Abeja,B1,0,76637,0.0,0.0,"(None, None, None, None, None, None)",0.0,76637,0.0,0.0,"(None, None, None, None, None, None)"
