Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
A cobro revertido,B2,0,76400,0.0,0.0,"(None, None, None, None, None, None)",0.0,76400,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,0,76400,0.0,0.0,"(None, None, None, None, None, None)",0.0,76400,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,2,76400,2.6178010471204188e-05,1.786632161150436e-05,"(11, 16, 13.5, 5, 7, 6.0)",720.1,76400,0.009425392670157068,0.003815723062060321,"(2.5, 19.3, 7.342229315154207, 1.9, 13.1, 4.493486666354453)"
A la derecha de,A1-A2,2,76400,2.6178010471204188e-05,1.8313531510442395e-05,"(11, 16, 13.5, 5, 7, 6.0)",677.6,76400,0.008869109947643979,0.003793591906683187,"(2.5, 19.3, 7.374118924593696, 1.9, 13.1, 4.491509879954915)"
A la izquierda,A1-A2,1,76400,1.3089005235602094e-05,1.1065345706265501e-05,"(9, 9, 9.0, 10, 10, 10.0)",641.6,76400,0.008397905759162303,0.004881070121954534,"(3, 22.6, 8.319977047153678, 1.6, 16.8, 4.893237730033493)"
A la izquierda de,A1-A2,0,76400,0.0,0.0,"(None, None, None, None, None, None)",0.0,76400,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,0,76400,0.0,0.0,"(None, None, None, None, None, None)",0.0,76400,0.0,0.0,"(None, None, None, None, None, None)"
A pie,A1-A2,1,76400,1.3089005235602094e-05,5.1278653335872456e-05,"(7, 7, 7.0, 4, 4, 4.0)",1194.3333333333333,76400,0.0156326352530541,0.005057768609990286,"(2.6666666666666665, 20, 7.424728993679023, 1.5, 16.333333333333332, 4.366483092378545)"
A tiempo completo,A1-A2,0,76400,0.0,0.0,"(None, None, None, None, None, None)",0.0,76400,0.0,0.0,"(None, None, None, None, None, None)"
A tiempo parcial,A1-A2,0,76400,0.0,0.0,"(None, None, None, None, None, None)",0.0,76400,0.0,0.0,"(None, None, None, None, None, None)"
ADSL,B2,0,76400,0.0,0.0,"(None, None, None, None, None, None)",0.0,76400,0.0,0.0,"(None, None, None, None, None, None)"
Abdominales,B1,0,76400,0.0,0.0,"(None, None, None, None, None, None)",0.0,76400,0.0,0.0,"(None, None, None, None, None, None)"
Abeja,B1,0,76400,0.0,0.0,"(None, None, None, None, None, None)",0.0,76400,0.0,0.0,"(None, None, None, None, None, None)"
Abierto,A1-A2,18,76400,0.0002356020942408377,0.0004304022803365422,"(5, 15, 8.38888888888889, 2, 7, 4.555555555555555)",504.34285714285716,76400,0.006601346297681376,0.003719850309913776,"(2.942857142857143, 18, 7.28301212789911, 1.6, 13.685714285714285, 4.374842146375476)"
