Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
A cobro revertido,B2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
A fuego lento,B2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
A la derecha,A1-A2,3,203491,1.474266675184652e-05,1.79471731335447e-05,"(7, 10, 8.0, 3, 7, 5.333333333333333)",935.9166666666666,203491,0.004599302508055229,0.0014367119931465336,"(4.416666666666667, 23.083333333333332, 10.31619821869356, 2.9166666666666665, 14.083333333333334, 6.194447286704869)"
A la derecha de,A1-A2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
A la izquierda,A1-A2,1,203491,4.914222250615506e-06,6.841817186644773e-06,"(7, 7, 7.0, 6, 6, 6.0)",1047.0,203491,0.005145190696394435,0.0013544767780622263,"(5.333333333333333, 24.666666666666668, 8.907478223921819, 4.333333333333333, 12.333333333333334, 6.275759507117059)"
A la izquierda de,A1-A2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
A la plancha,A1-A2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
A pie,A1-A2,1,203491,4.914222250615506e-06,2.987275616228107e-06,"(13, 13, 13.0, 6, 6, 6.0)",2092.25,203491,0.010281781503850293,0.0015636031356295475,"(5.25, 31.25, 10.778721862222735, 2.75, 16.25, 6.088702519353987)"
A tiempo completo,A1-A2,2,203491,9.828444501231012e-06,7.260666257555271e-06,"(9, 14, 11.5, 4, 6, 5.0)",2082.0,203491,0.010231410725781485,0.0029661762214022655,"(4, 34.285714285714285, 10.817618887039107, 1.8571428571428572, 18.428571428571427, 5.919326414730745)"
A tiempo parcial,A1-A2,3,203491,1.474266675184652e-05,9.558160275389903e-06,"(9, 14, 11.0, 4, 7, 5.666666666666667)",1500.2222222222222,203491,0.0073724254253122855,0.0014514629135154828,"(4.444444444444445, 29.666666666666668, 11.017353494700616, 2.3333333333333335, 16, 6.326264453707951)"
ADSL,B2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
Abdominales,B1,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
Abeja,B1,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
Abierto,A1-A2,38,203491,0.00018674044552338925,0.0001357623005738454,"(4, 27, 11.763157894736842, 4, 12, 6.815789473684211)",446.44117647058823,203491,0.0021939111630027287,0.0007847391752296183,"(4.715686274509804, 24.745098039215687, 11.002139295896608, 3.0686274509803924, 13.588235294117647, 6.67730694029375)"
Abogado,A1-A2,12,203491,5.897066700738608e-05,3.8139842215338616e-05,"(4, 17, 10.083333333333334, 2, 11, 6.25)",664.780487804878,203491,0.0032668790649457618,0.0008898108155737521,"(4.926829268292683, 26.4390243902439, 11.114572349639229, 3.073170731707317, 14.048780487804878, 6.5510502214070385)"
Abogado criminalista,B2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
Abogado defensor,B2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
Abono orgánico,B2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
Abrigo,A1-A2,3,203491,1.474266675184652e-05,1.266506133509424e-05,"(9, 11, 10.333333333333334, 5, 7, 6.0)",1243.4545454545455,203491,0.006110611994901718,0.001037327292644241,"(4.181818181818182, 26, 10.215099782750105, 2.5454545454545454, 14.727272727272727, 6.071714684073491)"
Abril,A1-A2,21,203491,0.00010319866726292563,7.740225886833492e-05,"(5, 19, 11.619047619047619, 4, 10, 6.190476190476191)",676.8846153846154,203491,0.003326361438022396,0.0009400099335245147,"(4.480769230769231, 25.557692307692307, 10.927460304199688, 2.6538461538461537, 14.038461538461538, 6.318442613791318)"
Abrir una cuenta,B1,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
Abrochar,A1-A2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
Abrocharse,A1-A2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
Abrocharse el cinturón,A1-A2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
Abstracto,B2,0,203491,0.0,0.0,"(None, None, None, None, None, None)",0.0,203491,0.0,0.0,"(None, None, None, None, None, None)"
